shd,num_edges,bic,bdeu,posterior_predictive_loglik,neg_posterior_predictive_loglik,rank
91.0,71.0,-53702.476087257135,-52969.08922448379,-49417.91999015195,49417.91999015195,1
90.0,72.0,-53735.70140811365,-52963.801330408256,-49434.61560225011,49434.61560225011,2
99.0,73.0,-53721.99626665053,-52991.030631005735,-49429.00578961752,49429.00578961752,3
89.0,73.0,-53745.3464365876,-52997.143886577294,-49427.03689786567,49427.03689786567,4
103.0,73.0,-53753.924421359996,-53020.98717787016,-49466.336953993596,49466.336953993596,5
104.0,74.0,-53677.08611109583,-52979.76789922272,-49493.18583390513,49493.18583390513,6
89.0,71.0,-53719.560805990004,-53019.928245285926,-49499.88329642589,49499.88329642589,7
102.0,74.0,-53702.49147687149,-52984.757536487064,-49507.44510793715,49507.44510793715,8
92.0,70.0,-53675.718808970865,-52950.82547131207,-49531.64504563421,49531.64504563421,9
94.0,74.0,-53856.59020179043,-53167.526602338214,-49483.054977831074,49483.054977831074,10
107.0,75.0,-53868.455301611284,-53039.817648868244,-49527.43418202643,49527.43418202643,11
105.0,75.0,-53852.898509691746,-53077.04100975785,-49541.40197826028,49541.40197826028,12
93.0,75.0,-53861.890349141286,-53118.04336373975,-49510.284662939426,49510.284662939426,13
94.0,74.0,-53811.09311088104,-53141.657250896846,-49528.9461417363,49528.9461417363,14
96.0,74.0,-53838.0826305623,-53002.70759600455,-49535.95845420665,49535.95845420665,15
93.0,71.0,-53746.690761540696,-53033.475461964044,-49631.78885681365,49631.78885681365,16
104.0,72.0,-53882.412895609654,-53104.29739089903,-49713.09680898441,49713.09680898441,17
105.0,75.0,-53976.09657496236,-53232.3322168609,-49659.856334474265,49659.856334474265,18
99.0,71.0,-54016.386564955435,-53199.39023683733,-49717.408046966375,49717.408046966375,19
91.0,71.0,-53940.39383771249,-53224.60174771231,-49751.40081320791,49751.40081320791,20
