shd,num_edges,bic,bdeu,posterior_predictive_loglik,neg_posterior_predictive_loglik,rank
6.0,8.0,-2321.5575462016564,-2307.6498335334713,-2264.28240908464,2264.28240908464,1
4.0,8.0,-2321.557546201657,-2307.6498335334704,-2264.2824090846407,2264.2824090846407,2
7.0,9.0,-2324.729652283774,-2309.0710229089227,-2266.2354562041005,2266.2354562041005,3
7.0,9.0,-2324.729652283774,-2309.071022908922,-2266.2354562041,2266.2354562041,4
7.0,9.0,-2324.729652283774,-2309.0710229089223,-2266.235456204099,2266.235456204099,5
7.0,9.0,-2324.729652283774,-2309.0710229089227,-2266.235456204101,2266.235456204101,6
7.0,9.0,-2324.729652283774,-2309.0710229089227,-2266.235456204101,2266.235456204101,7
6.0,10.0,-2331.1570169537813,-2313.545969097411,-2266.377985699398,2266.377985699398,8
8.0,10.0,-2336.1145932004024,-2318.4304501871393,-2272.420802196662,2272.420802196662,9
11.0,11.0,-2343.8718252905187,-2326.914695169225,-2267.662291877804,2267.662291877804,10
9.0,11.0,-2342.8603646830993,-2326.5638257694263,-2266.3987734647853,2266.3987734647853,11
13.0,11.0,-2345.5873306612903,-2328.809133811522,-2268.10172245566,2268.10172245566,12
11.0,11.0,-2344.9316082127584,-2331.326403604769,-2267.0158203962765,2267.0158203962765,13
