shd,num_edges,bic,bdeu,posterior_predictive_loglik,neg_posterior_predictive_loglik,rank
76.0,72.0,-53562.312600773716,-52987.31908341208,-49381.90566523851,49381.90566523851,1
79.0,71.0,-53532.92459237159,-52938.17065553305,-49403.18006677358,49403.18006677358,2
74.0,70.0,-53546.37879854235,-52961.13801682318,-49403.11098078625,49403.11098078625,3
73.0,71.0,-53562.624580801494,-52985.77810045446,-49394.83962062426,49394.83962062426,4
84.0,72.0,-53581.45763496451,-53002.78407084885,-49406.8023448558,49406.8023448558,5
84.0,72.0,-53599.995544214944,-53030.09401582135,-49409.437675647256,49409.437675647256,6
78.0,70.0,-53546.019592148725,-52948.796644873866,-49425.463101161826,49425.463101161826,7
94.0,74.0,-53627.15998036864,-53048.69549985136,-49399.15131143838,49399.15131143838,8
86.0,72.0,-53595.5035269257,-53018.83367903171,-49414.15356141724,49414.15356141724,9
77.0,71.0,-53594.35657865948,-53024.724918167965,-49420.21784382819,49420.21784382819,10
79.0,71.0,-53557.59981783332,-52962.836237737436,-49428.887456298435,49428.887456298435,11
81.0,71.0,-53626.22553411784,-53055.91941958193,-49431.83165750957,49431.83165750957,12
90.0,74.0,-53717.675581306125,-53156.20173927737,-49411.78213280587,49411.78213280587,13
79.0,73.0,-53738.45904831398,-53158.395443159774,-49423.1138006025,49423.1138006025,14
79.0,73.0,-53742.21810393312,-53162.163937434125,-49428.227300637715,49428.227300637715,15
79.0,73.0,-53710.76410459995,-53119.133499363044,-49432.22435572967,49432.22435572967,16
84.0,74.0,-53764.25174885514,-53191.77855650458,-49425.0848026847,49425.0848026847,17
89.0,75.0,-53738.52696358216,-53148.07035046161,-49431.361247877234,49431.361247877234,18
88.0,72.0,-53832.65255390423,-53083.11395910912,-49404.86609716772,49404.86609716772,19
