iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
22000,958.0745 ± 37.8652,44.0072 ± 3.5207,149.1610 ± 19.6436,104.1970 ± 18.4313,0.6432 ± 0.0586,0.0667 ± 0.0251,0.0603 ± 0.0226,-65304.8658 ± 1769.5479,-62467.1465 ± 771.0280,-65465.2594 ± 2033.6933,-62460.0718 ± 804.9593,615.3909 ± 121.8699,228.2495 ± 40.5966,259.4875 ± 42.0326,0.9000 ± 0.0000,0.0000 ± 0.0000,59746.8078 ± 878.8434,-58398.7676 ± 984.4619
23000,1018.4101 ± 37.2261,13.1918 ± 1.3340,147.0050 ± 22.3983,102.9610 ± 24.5809,0.6264 ± 0.0228,0.0885 ± 0.0551,0.0691 ± 0.0535,-64927.4144 ± 1672.6083,-63082.5295 ± 995.0612,-64744.4787 ± 2501.6627,-62710.7166 ± 1789.3476,544.3171 ± 99.6254,226.5043 ± 36.1573,255.5007 ± 34.9928,0.9000 ± 0.0000,0.0000 ± 0.0000,,
24000,1049.6400 ± 37.7802,44.0765 ± 4.4457,147.9060 ± 21.9071,106.3100 ± 26.1384,0.6415 ± 0.0162,0.0791 ± 0.0121,0.0584 ± 0.0038,-64478.3254 ± 2077.8897,-62429.0479 ± 1046.2913,-64523.5230 ± 2660.1262,-62053.9804 ± 1394.1522,547.4868 ± 103.8184,222.2190 ± 36.3463,246.6325 ± 49.7563,0.9000 ± 0.0000,0.0000 ± 0.0000,59210.7536 ± 606.6330,-57784.0645 ± 684.4192
25000,1112.4308 ± 40.0554,14.1416 ± 0.9962,156.2680 ± 26.1880,118.1960 ± 21.0001,0.6245 ± 0.0383,0.0856 ± 0.0324,0.0617 ± 0.0307,-65258.1416 ± 2746.6249,-63535.8889 ± 2483.0209,-65171.1958 ± 3567.1516,-63298.6386 ± 3493.0523,542.0375 ± 197.8097,215.2920 ± 36.8521,244.6033 ± 50.9376,0.9000 ± 0.0000,0.0000 ± 0.0000,,
26000,1144.8000 ± 40.3934,45.8687 ± 2.4426,150.3420 ± 22.1015,114.9540 ± 15.6609,0.6256 ± 0.0213,0.1036 ± 0.0581,0.0811 ± 0.0507,-64621.9406 ± 1285.3216,-62947.9468 ± 843.0393,-64630.7170 ± 1839.4280,-62572.3981 ± 1270.3764,476.2706 ± 179.9344,206.7540 ± 37.2330,232.3293 ± 40.3526,0.9000 ± 0.0000,0.0000 ± 0.0000,58809.7344 ± 1386.3329,-57561.0761 ± 1237.7248
27000,1207.2973 ± 40.9426,13.7864 ± 0.5119,152.7080 ± 18.4263,112.6280 ± 13.8679,0.6331 ± 0.0287,0.1031 ± 0.0711,0.0758 ± 0.0711,-64999.0493 ± 1164.8978,-63177.3274 ± 1041.4416,-64926.3437 ± 1393.6814,-62887.5637 ± 1433.6200,413.6420 ± 143.6671,200.5436 ± 29.9704,212.5899 ± 35.4275,0.9000 ± 0.0000,0.0000 ± 0.0000,,
28000,1238.3315 ± 41.4181,44.0313 ± 1.9550,147.0420 ± 21.9997,106.2860 ± 12.9667,0.5982 ± 0.0556,0.1008 ± 0.0789,0.0710 ± 0.0640,-63755.1102 ± 1242.0365,-62837.1307 ± 1164.6015,-63801.6600 ± 1462.8146,-62784.1762 ± 1331.3179,384.2256 ± 103.9074,197.7567 ± 26.3315,212.9696 ± 28.4103,0.9000 ± 0.0000,0.0000 ± 0.0000,58673.5925 ± 1515.3307,-57778.4827 ± 1498.0092
29000,1299.1180 ± 41.6798,13.1332 ± 0.4523,141.8540 ± 15.8864,102.8200 ± 9.8546,0.6130 ± 0.0204,0.0897 ± 0.0521,0.0512 ± 0.0190,-63882.2473 ± 919.9271,-62718.1218 ± 675.1092,-63959.8355 ± 984.4073,-62414.4101 ± 784.0878,399.1551 ± 103.8053,188.0033 ± 29.4501,197.8112 ± 30.9395,0.9000 ± 0.0000,0.0000 ± 0.0000,,
30000,1331.0305 ± 41.6101,43.9729 ± 1.5923,142.8240 ± 15.9763,106.2440 ± 11.6744,0.6062 ± 0.0154,0.1085 ± 0.0631,0.0577 ± 0.0266,-64304.7285 ± 275.3094,-63137.7128 ± 702.5461,-64145.1547 ± 184.5352,-63043.3294 ± 545.6691,357.6657 ± 107.1436,177.9354 ± 25.7471,196.1372 ± 36.9294,0.9000 ± 0.0000,0.0000 ± 0.0000,59087.9108 ± 973.3233,-58097.3706 ± 1054.0460
31000,1391.8170 ± 41.5899,13.1353 ± 0.5013,138.6240 ± 19.7183,105.5400 ± 10.8847,0.6213 ± 0.0282,0.1128 ± 0.0671,0.0670 ± 0.0377,-63572.2248 ± 1122.3425,-62572.8577 ± 1012.4279,-63488.8290 ± 1582.7670,-62265.7787 ± 1199.0867,375.4565 ± 117.9517,166.7171 ± 25.8497,193.6632 ± 36.8364,0.9000 ± 0.0000,0.0000 ± 0.0000,,
32000,1422.3095 ± 41.8756,43.0135 ± 0.6750,132.7170 ± 12.8728,99.6330 ± 4.3403,0.6418 ± 0.0275,0.1321 ± 0.0731,0.0779 ± 0.0406,-63467.3155 ± 1026.0987,-62575.5431 ± 845.9904,-62989.2084 ± 1272.4039,-62003.7590 ± 1253.6538,354.8610 ± 42.9235,160.1938 ± 21.9060,179.0008 ± 22.6573,0.9000 ± 0.0000,0.0000 ± 0.0000,58251.2664 ± 1605.4735,-57656.6580 ± 1435.5166
33000,1483.1147 ± 44.1740,13.0074 ± 0.7034,139.7440 ± 21.2803,103.6210 ± 14.0775,0.6220 ± 0.0460,0.1305 ± 0.0548,0.0606 ± 0.0248,-63876.8057 ± 1603.8093,-62759.7313 ± 1201.7941,-63687.8960 ± 1784.6299,-62541.7598 ± 1370.6440,313.1130 ± 43.4186,154.5352 ± 23.0960,173.2618 ± 16.1173,0.9000 ± 0.0000,0.0000 ± 0.0000,,
34000,1513.6446 ± 44.7537,43.9261 ± 3.3293,136.4980 ± 18.6265,104.3640 ± 17.7467,0.6308 ± 0.0210,0.1345 ± 0.0418,0.0693 ± 0.0235,-64305.5434 ± 1865.1975,-63246.7953 ± 1598.4963,-63826.5118 ± 2407.1943,-62536.8327 ± 2445.8122,317.5915 ± 66.0559,152.2159 ± 18.9194,167.9084 ± 16.3243,0.9000 ± 0.0000,0.0000 ± 0.0000,57960.3655 ± 1551.9229,-57245.0192 ± 1412.3510
35000,1574.8859 ± 45.9288,13.0434 ± 0.4737,138.0530 ± 16.5042,100.1940 ± 10.5193,0.6010 ± 0.0454,0.1151 ± 0.0317,0.0492 ± 0.0233,-63627.5851 ± 1817.3373,-62617.6533 ± 1598.1861,-63233.5854 ± 2186.3695,-62235.6801 ± 2185.5701,328.2702 ± 87.0105,146.4553 ± 21.5249,153.5671 ± 27.7611,0.9000 ± 0.0000,0.0000 ± 0.0000,,
36000,1605.1752 ± 46.7374,43.3871 ± 1.5369,139.0850 ± 13.8571,102.2760 ± 8.3091,0.6060 ± 0.0441,0.1108 ± 0.0394,0.0544 ± 0.0245,-64493.3037 ± 2934.6967,-62919.2872 ± 1854.4057,-63243.6316 ± 1430.0468,-62144.0287 ± 1221.9411,285.9844 ± 130.8045,147.5765 ± 26.9317,157.8429 ± 36.6125,0.9000 ± 0.0000,0.0000 ± 0.0000,57725.2035 ± 1354.7356,-57122.0513 ± 959.7750
37000,1664.9482 ± 48.5316,12.9955 ± 0.4225,135.1230 ± 14.5350,100.0870 ± 8.2781,0.6254 ± 0.0273,0.1358 ± 0.0494,0.0662 ± 0.0220,-64646.5080 ± 3013.6266,-62353.4252 ± 993.4671,-62982.4673 ± 1647.3476,-61829.3763 ± 1225.6915,259.2471 ± 179.3742,146.0351 ± 24.5283,159.2321 ± 50.1985,0.9000 ± 0.0000,0.0000 ± 0.0000,,
38000,1695.0689 ± 48.9063,43.0156 ± 1.5068,134.0170 ± 14.5808,99.5070 ± 7.7165,0.6355 ± 0.0421,0.1235 ± 0.0546,0.0636 ± 0.0291,-63990.1942 ± 2304.3585,-62221.0407 ± 775.3712,-62981.7691 ± 1469.4145,-61845.9287 ± 991.8696,273.1965 ± 147.0148,144.4678 ± 26.1106,153.5344 ± 47.6047,0.9000 ± 0.0000,0.0000 ± 0.0000,57335.1809 ± 1021.8894,-56579.0938 ± 818.5228
39000,1754.5404 ± 50.2472,12.9982 ± 0.5027,133.7730 ± 15.0132,100.1810 ± 9.8629,0.6457 ± 0.0257,0.1208 ± 0.0459,0.0639 ± 0.0242,-62485.6799 ± 1296.5071,-61531.1495 ± 836.8445,-62597.1365 ± 1685.6024,-61460.7573 ± 1024.4297,230.4431 ± 55.0156,132.6414 ± 25.5873,129.2798 ± 27.6848,0.9000 ± 0.0000,0.0000 ± 0.0000,,
