iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
0,23.5063 ± 1.4972,21.3517 ± 1.6708,66.5770 ± 0.1787,0.6280 ± 0.2010,0.5079 ± 0.0176,0.0244 ± 0.0105,0.0221 ± 0.0013,-70242.7842 ± 110.4533,-69122.3643 ± 590.7794,-70302.6393 ± 110.9658,-69072.9257 ± 727.2227,1230.7032 ± 89.7716,1230.7032 ± 89.7716,1230.7032 ± 89.7716,0.0000 ± 0.0000,0.0001 ± 0.0000,69747.8682 ± 113.4406,-68338.0718 ± 695.1836
1,42.4691 ± 2.5198,5.3477 ± 0.8466,66.6660 ± 0.2076,0.7120 ± 0.2223,0.4974 ± 0.0152,0.0221 ± 0.0098,0.0213 ± 0.0006,-70253.8044 ± 114.2596,-69786.2848 ± 471.3918,-70316.2388 ± 114.8868,-69846.4971 ± 484.5757,1089.0125 ± 26.3166,1159.8578 ± 49.5610,1216.5341 ± 81.4328,0.0000 ± 0.0000,0.0001 ± 0.0000,,
10,57.8978 ± 4.1645,7.7009 ± 2.4830,67.4930 ± 0.4186,1.5830 ± 0.4369,0.4959 ± 0.0179,0.0215 ± 0.0069,0.0211 ± 0.0007,-70284.2342 ± 126.8794,-69460.2041 ± 540.6516,-70339.1333 ± 119.9821,-69465.8085 ± 646.0129,1193.1501 ± 132.0372,1157.8711 ± 41.4346,1181.6160 ± 55.1151,0.0005 ± 0.0000,0.0001 ± 0.0000,,
50,73.0723 ± 0.9636,8.8319 ± 0.9818,73.3230 ± 1.3254,8.2150 ± 1.5029,0.6259 ± 0.0342,0.0525 ± 0.0164,0.0452 ± 0.0126,-71014.2708 ± 297.9034,-69667.5283 ± 1139.8243,-70854.7605 ± 222.9451,-69770.2506 ± 1089.0183,1104.7325 ± 72.1087,1163.3094 ± 28.5644,1154.1880 ± 44.6857,0.0023 ± 0.0000,0.0001 ± 0.0000,,
100,86.2592 ± 3.6245,12.1712 ± 3.5238,109.9640 ± 21.7733,53.2850 ± 25.0613,0.7778 ± 0.0173,0.2230 ± 0.0310,0.2224 ± 0.0303,-79825.8934 ± 4525.7703,-70258.8848 ± 129.1328,-74549.7803 ± 2233.3220,-68973.1848 ± 1045.4016,1173.2843 ± 103.5690,1155.9313 ± 22.5801,1151.5417 ± 25.2443,0.0045 ± 0.0000,0.0001 ± 0.0000,,
500,109.5321 ± 3.3638,15.5910 ± 0.5541,110.1740 ± 6.6071,95.0170 ± 7.1100,0.9226 ± 0.0061,0.4878 ± 0.0688,0.4884 ± 0.0653,-138094.9685 ± 14262.1751,-96022.8407 ± 3847.7560,-66088.0691 ± 2227.7155,-57873.8400 ± 1754.1995,1065.4204 ± 75.6157,1049.5851 ± 17.5259,1039.7431 ± 26.1331,0.0225 ± 0.0000,0.0001 ± 0.0000,,
1000,134.5202 ± 5.2045,15.5385 ± 2.0582,111.2020 ± 19.1089,91.4800 ± 19.2972,0.8696 ± 0.0213,0.4217 ± 0.0806,0.4203 ± 0.0794,-135993.4524 ± 13731.1372,-97598.9348 ± 3159.1808,-65566.9157 ± 3092.0492,-59028.5918 ± 1547.2496,1099.0165 ± 78.2784,868.6149 ± 30.7786,860.7949 ± 26.0881,0.0450 ± 0.0000,0.0001 ± 0.0000,,
2000,170.0122 ± 9.4528,46.9345 ± 10.7077,126.6910 ± 39.9420,104.1020 ± 42.7498,0.7952 ± 0.0373,0.3137 ± 0.0475,0.3101 ± 0.0490,-132343.0479 ± 20457.8733,-97516.3944 ± 4125.3113,-70409.4654 ± 7303.1380,-60612.3609 ± 3045.9054,1149.9064 ± 40.1399,599.4562 ± 24.4291,632.4904 ± 30.8402,0.0900 ± 0.0000,0.0001 ± 0.0000,58037.5877 ± 1326.6718,-54749.4406 ± 1294.7765
3000,234.9197 ± 15.8090,16.0649 ± 2.0716,132.1500 ± 20.5158,109.2520 ± 24.4758,0.7573 ± 0.0223,0.2367 ± 0.0372,0.2274 ± 0.0387,-124114.0610 ± 20328.8031,-95953.8912 ± 2487.6723,-71408.8625 ± 5977.6340,-61815.5410 ± 1496.9284,1220.3500 ± 138.5819,464.0552 ± 18.2416,520.6277 ± 4.5373,0.1350 ± 0.0000,0.0001 ± 0.0000,,
4000,273.5949 ± 14.9352,56.2073 ± 1.7785,165.4260 ± 8.0729,148.4520 ± 5.0445,0.7262 ± 0.0276,0.2407 ± 0.0271,0.2274 ± 0.0301,-111149.1951 ± 6382.2309,-95237.2482 ± 12255.0167,-79230.5675 ± 5155.0289,-65759.5495 ± 1855.3233,1192.3129 ± 115.4232,407.6387 ± 11.9954,461.3382 ± 10.6130,0.1800 ± 0.0000,0.0001 ± 0.0000,57747.3442 ± 743.9789,-55113.3710 ± 629.0232
