iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
8000,264.7297 ± 3.1761,21.2980 ± 2.2515,79.6780 ± 12.2339,75.1380 ± 14.9876,0.6002 ± 0.0455,0.2114 ± 0.0394,0.1280 ± 0.0192,-21207.5035 ± 4117.7596,-19976.7051 ± 4475.0288,-17773.6142 ± 1077.0982,-17162.8674 ± 1147.4627,178.7663 ± 19.8927,182.9159 ± 11.5268,181.9059 ± 13.9930,0.3600 ± 0.0000,0.0001 ± 0.0000,14237.7512 ± 254.8897,-13871.4307 ± 303.9277
9000,297.0967 ± 4.3802,6.2661 ± 0.2872,74.6270 ± 7.5833,71.2740 ± 7.0588,0.6236 ± 0.0392,0.2508 ± 0.0165,0.1573 ± 0.0305,-18472.2987 ± 1975.9249,-16707.9620 ± 845.0624,-17317.5570 ± 1006.2229,-16416.4883 ± 678.4089,170.1599 ± 20.9049,172.3370 ± 6.0219,165.5238 ± 8.4439,0.4050 ± 0.0000,0.0001 ± 0.0000,,
10000,314.8135 ± 4.3776,19.0632 ± 0.6196,65.5940 ± 3.6622,60.1430 ± 3.7693,0.6212 ± 0.0171,0.2367 ± 0.0287,0.1473 ± 0.0148,-16451.2856 ± 570.8517,-15920.1797 ± 466.4667,-16260.6085 ± 376.9285,-15823.0763 ± 374.6950,162.4288 ± 22.1108,166.8298 ± 4.8187,170.0529 ± 6.6246,0.4500 ± 0.0000,0.0001 ± 0.0000,13928.6901 ± 305.4102,-13676.3053 ± 310.7345
11000,345.0936 ± 4.5062,5.7833 ± 0.1014,65.2300 ± 3.0532,61.5110 ± 2.5662,0.6171 ± 0.0227,0.2496 ± 0.0517,0.1642 ± 0.0610,-15887.2131 ± 196.1016,-15474.9248 ± 276.7871,-15848.3609 ± 241.0395,-15489.7648 ± 306.1201,173.1164 ± 28.5363,159.4559 ± 3.9360,157.0646 ± 6.1337,0.4950 ± 0.0000,0.0001 ± 0.0000,,
12000,362.1048 ± 4.4589,18.6273 ± 0.1431,62.9820 ± 2.1741,58.5810 ± 2.7871,0.6267 ± 0.0250,0.2290 ± 0.0321,0.1382 ± 0.0218,-15536.0410 ± 456.9217,-15277.0145 ± 405.7949,-15570.2378 ± 530.6721,-15288.8296 ± 467.4396,166.2287 ± 9.2023,151.4205 ± 6.2275,155.4785 ± 6.1236,0.5400 ± 0.0000,0.0001 ± 0.0000,13741.4040 ± 477.3055,-13575.4312 ± 479.2154
13000,391.1665 ± 4.6096,5.5116 ± 0.0682,60.6000 ± 1.9223,56.4890 ± 2.0668,0.6195 ± 0.0265,0.2304 ± 0.0315,0.1333 ± 0.0203,-15286.4757 ± 311.3606,-15020.7157 ± 302.9760,-15319.7506 ± 346.7552,-15045.5975 ± 336.3827,134.1257 ± 22.7557,144.5905 ± 3.8838,145.2499 ± 7.0397,0.5850 ± 0.0000,0.0001 ± 0.0000,,
14000,407.2825 ± 4.6039,17.8965 ± 0.3766,60.1980 ± 2.7398,54.2970 ± 2.5550,0.6178 ± 0.0105,0.2216 ± 0.0393,0.1327 ± 0.0248,-15183.7149 ± 473.0055,-14729.6271 ± 301.7276,-15230.5417 ± 519.1463,-14783.8974 ± 368.5261,149.3898 ± 18.4833,138.8721 ± 5.4990,139.4641 ± 8.5808,0.6300 ± 0.0000,0.0001 ± 0.0000,13695.0876 ± 434.2143,-13384.2720 ± 388.4018
15000,435.4796 ± 4.3881,5.4280 ± 0.2070,62.0400 ± 6.3208,54.8780 ± 4.8213,0.5961 ± 0.0432,0.2045 ± 0.0483,0.1154 ± 0.0291,-15185.4292 ± 638.0329,-14715.3659 ± 522.8179,-15246.1305 ± 620.5267,-14772.7520 ± 512.7832,118.0763 ± 19.1360,132.2723 ± 5.3111,129.1073 ± 9.0859,0.6750 ± 0.0000,0.0001 ± 0.0000,,
16000,451.5084 ± 3.6983,17.9464 ± 1.3292,59.7710 ± 10.3711,54.2090 ± 9.3604,0.6126 ± 0.0488,0.2135 ± 0.0618,0.1327 ± 0.0475,-15184.0392 ± 842.8629,-14770.4587 ± 610.0756,-15197.0998 ± 765.4512,-14819.8316 ± 597.2140,112.4891 ± 12.2791,126.5624 ± 6.1649,124.3317 ± 7.4312,0.7200 ± 0.0000,0.0001 ± 0.0000,13739.6448 ± 429.1886,-13496.5962 ± 376.0921
17000,479.9196 ± 2.4957,5.7136 ± 0.2300,68.5550 ± 7.9063,61.6980 ± 6.6623,0.5810 ± 0.0773,0.1600 ± 0.0618,0.0971 ± 0.0328,-15588.0699 ± 598.4459,-14949.0138 ± 547.4145,-15553.0599 ± 537.9203,-14955.2031 ± 528.5914,105.5074 ± 9.5105,117.9257 ± 3.8217,117.1523 ± 5.7575,0.7650 ± 0.0000,0.0001 ± 0.0000,,
18000,495.8088 ± 1.9885,18.5552 ± 1.0150,64.2900 ± 6.8594,58.4730 ± 7.0274,0.5943 ± 0.0480,0.1989 ± 0.0620,0.1099 ± 0.0398,-15251.3287 ± 577.9945,-14770.7945 ± 592.3433,-15215.5020 ± 549.3600,-14744.8369 ± 585.4634,113.4229 ± 7.1068,112.6013 ± 2.9137,113.9808 ± 6.5135,0.8100 ± 0.0000,0.0001 ± 0.0000,13701.4965 ± 346.8365,-13369.3528 ± 422.7363
19000,524.4859 ± 1.5426,5.7130 ± 0.3955,65.9450 ± 10.3207,60.2460 ± 11.1202,0.6169 ± 0.0219,0.1870 ± 0.0690,0.1173 ± 0.0262,-15614.6183 ± 554.6675,-14836.1124 ± 232.0026,-15476.3231 ± 415.9332,-14800.2248 ± 261.2959,102.4584 ± 23.7219,105.1728 ± 2.7439,106.1578 ± 5.6585,0.8550 ± 0.0000,0.0001 ± 0.0000,,
20000,540.3734 ± 1.3756,17.6729 ± 1.5331,57.0450 ± 11.1404,52.8530 ± 11.4950,0.6242 ± 0.0467,0.2211 ± 0.0304,0.1249 ± 0.0266,-14894.9812 ± 839.2963,-14645.1984 ± 817.8198,-14888.5082 ± 769.8982,-14623.9182 ± 716.8772,91.9688 ± 16.8065,98.0769 ± 2.5782,96.2893 ± 4.7545,0.9000 ± 0.0000,0.0001 ± 0.0000,13479.0976 ± 340.0367,-13308.1976 ± 296.4653
21000,567.4361 ± 2.3915,5.2390 ± 0.4282,55.1090 ± 12.3736,50.3490 ± 12.3936,0.6028 ± 0.0597,0.2178 ± 0.0557,0.1231 ± 0.0524,-14858.8448 ± 410.6365,-14717.8293 ± 341.2399,-14864.3910 ± 361.8680,-14730.7978 ± 317.5643,89.3133 ± 14.2783,89.9501 ± 6.0433,88.1063 ± 9.0793,0.9000 ± 0.0000,0.0001 ± 0.0000,,
22000,583.7335 ± 4.7120,17.1599 ± 2.0040,55.4700 ± 15.5493,49.5590 ± 14.9088,0.5920 ± 0.0595,0.2109 ± 0.0857,0.1206 ± 0.0520,-14769.3728 ± 569.0948,-14345.0036 ± 351.6946,-14773.0049 ± 568.4273,-14356.4565 ± 371.7599,87.9317 ± 6.3848,84.2095 ± 9.3101,82.2415 ± 9.0122,0.9000 ± 0.0000,0.0001 ± 0.0000,13495.4553 ± 242.9409,-13198.8264 ± 174.8495
23000,611.0991 ± 8.7358,5.1444 ± 0.4674,53.7140 ± 16.6845,49.0890 ± 13.9631,0.6010 ± 0.0627,0.2229 ± 0.0901,0.1258 ± 0.0459,-14648.0405 ± 673.1851,-14314.9034 ± 537.7931,-14653.2290 ± 592.2689,-14316.7210 ± 460.3632,74.6841 ± 11.7454,81.4764 ± 9.3835,80.3682 ± 10.1633,0.9000 ± 0.0000,0.0001 ± 0.0000,,
24000,625.9489 ± 9.3920,16.7574 ± 1.7935,51.1680 ± 15.8738,46.9840 ± 13.7192,0.5928 ± 0.0737,0.2336 ± 0.1023,0.1310 ± 0.0637,-14450.3711 ± 501.0627,-14334.1716 ± 488.0245,-14420.0220 ± 428.2378,-14300.3828 ± 420.7878,74.3106 ± 17.7294,78.9642 ± 12.2552,76.5766 ± 11.9653,0.9000 ± 0.0000,0.0001 ± 0.0000,13281.5149 ± 264.6972,-13201.0544 ± 244.9239
25000,652.1071 ± 11.1948,5.0420 ± 0.4510,50.4620 ± 15.0980,46.7940 ± 12.3477,0.6343 ± 0.0805,0.2438 ± 0.1103,0.1454 ± 0.0670,-14519.6532 ± 493.3744,-14307.2944 ± 396.7763,-14518.0339 ± 467.7699,-14296.3439 ± 368.7346,66.1305 ± 11.6331,77.0921 ± 13.6522,75.9456 ± 14.7943,0.9000 ± 0.0000,0.0001 ± 0.0000,,
26000,667.0172 ± 11.5406,16.5577 ± 1.1478,46.9450 ± 11.7308,45.0920 ± 9.4788,0.6822 ± 0.1014,0.2828 ± 0.1425,0.2003 ± 0.1334,-14399.9574 ± 322.8011,-14079.8780 ± 294.2657,-14395.8548 ± 313.6581,-14076.9672 ± 255.4655,82.1181 ± 17.2595,74.6484 ± 13.9576,73.9031 ± 13.6738,0.9000 ± 0.0000,0.0001 ± 0.0000,13224.4650 ± 427.7172,-12963.4077 ± 267.3820
27000,692.7189 ± 12.8014,4.9740 ± 0.4359,46.1220 ± 16.8685,44.6590 ± 12.0953,0.6433 ± 0.0993,0.3065 ± 0.1382,0.1604 ± 0.0808,-14251.5380 ± 440.6105,-14096.8656 ± 443.7335,-14248.1851 ± 390.8580,-14114.9277 ± 431.9956,70.1446 ± 19.8339,73.1520 ± 14.8954,72.9195 ± 17.2402,0.9000 ± 0.0000,0.0001 ± 0.0000,,
28000,707.1432 ± 12.9187,16.1817 ± 1.5930,42.5430 ± 15.3746,42.7260 ± 10.8206,0.6709 ± 0.1023,0.3128 ± 0.1352,0.1841 ± 0.0957,-14046.6787 ± 341.9792,-13913.3558 ± 334.1580,-14061.2113 ± 291.8350,-13938.1325 ± 295.9306,66.4216 ± 16.2682,65.9195 ± 11.8963,64.2556 ± 17.2462,0.9000 ± 0.0000,0.0001 ± 0.0000,13011.8701 ± 215.0831,-12940.0423 ± 247.7326
