iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
8000,257.5134 ± 1.0121,21.3755 ± 1.5870,80.0070 ± 8.9471,76.3650 ± 10.7249,0.5909 ± 0.0270,0.2365 ± 0.0267,0.1488 ± 0.0273,-20746.8320 ± 3197.0243,-17680.3476 ± 970.5144,-17948.7972 ± 799.9680,-16813.1516 ± 344.8597,369.1243 ± 32.6637,190.4387 ± 17.6853,211.2028 ± 16.8425,0.3600 ± 0.0000,0.0001 ± 0.0000,14250.4381 ± 170.6249,-13844.1446 ± 189.8037
9000,289.3905 ± 2.1968,5.8015 ± 0.4137,65.9750 ± 8.1263,60.6540 ± 9.1627,0.6129 ± 0.0395,0.2298 ± 0.0481,0.1462 ± 0.0318,-16877.2470 ± 1045.0216,-16097.7850 ± 623.2789,-16434.8926 ± 251.1523,-15848.0836 ± 250.2513,348.3797 ± 13.1547,183.8759 ± 20.0010,198.1032 ± 18.0524,0.4050 ± 0.0000,0.0001 ± 0.0000,,
10000,306.5178 ± 2.2651,18.8506 ± 1.4312,64.5200 ± 9.6259,60.0650 ± 10.0422,0.6244 ± 0.0167,0.2322 ± 0.0370,0.1450 ± 0.0236,-16456.9951 ± 636.7154,-15854.1747 ± 431.2597,-16271.4237 ± 476.1183,-15710.5874 ± 397.9166,366.6679 ± 21.9110,174.1485 ± 10.6869,192.5617 ± 9.5992,0.4500 ± 0.0000,0.0001 ± 0.0000,13976.8908 ± 351.4974,-13740.7688 ± 303.4777
11000,336.3168 ± 2.9034,5.6051 ± 0.2060,59.5860 ± 4.0147,55.8220 ± 3.9183,0.6506 ± 0.0155,0.2586 ± 0.0725,0.1699 ± 0.0524,-15673.9789 ± 341.3631,-15204.6746 ± 399.6243,-15671.8007 ± 271.9471,-15206.3396 ± 363.6942,383.6066 ± 46.9846,166.5456 ± 8.2998,183.9559 ± 7.4280,0.4950 ± 0.0000,0.0001 ± 0.0000,,
12000,352.9215 ± 3.0083,18.5093 ± 0.9738,62.7680 ± 8.3061,58.3900 ± 6.5839,0.6210 ± 0.0424,0.2448 ± 0.0589,0.1366 ± 0.0310,-15484.5439 ± 364.1622,-15068.8620 ± 249.8355,-15467.9695 ± 254.3531,-15102.8568 ± 249.2638,404.0868 ± 19.8077,155.7761 ± 5.7123,177.0274 ± 9.8664,0.5400 ± 0.0000,0.0001 ± 0.0000,13708.6287 ± 340.0331,-13558.1359 ± 343.2013
13000,381.9142 ± 3.2184,5.5341 ± 0.1696,62.8520 ± 5.8129,56.3770 ± 4.0087,0.5959 ± 0.0279,0.2111 ± 0.0598,0.1231 ± 0.0369,-15316.8587 ± 192.2774,-14974.5567 ± 64.5430,-15329.5048 ± 170.1276,-14975.4232 ± 120.4923,386.9218 ± 7.4163,147.5696 ± 3.2737,167.0817 ± 6.0270,0.5850 ± 0.0000,0.0001 ± 0.0000,,
14000,397.8106 ± 3.6147,17.9243 ± 0.9410,61.4890 ± 7.7041,55.1850 ± 6.8494,0.6204 ± 0.0490,0.2197 ± 0.0608,0.1277 ± 0.0490,-15276.5540 ± 183.6610,-14926.6079 ± 35.2691,-15274.1685 ± 135.9135,-14940.2082 ± 109.2077,353.1157 ± 22.1610,141.1326 ± 1.9464,160.2494 ± 3.6779,0.6300 ± 0.0000,0.0001 ± 0.0000,13749.1821 ± 335.6418,-13515.6206 ± 395.1511
15000,426.2154 ± 4.4936,5.5164 ± 0.2894,62.2330 ± 8.1438,55.3830 ± 7.8265,0.6029 ± 0.0383,0.2023 ± 0.0368,0.1123 ± 0.0265,-15274.0923 ± 427.4907,-14893.6898 ± 282.2575,-15263.3309 ± 443.3428,-14913.2421 ± 308.8571,323.8827 ± 36.8500,134.6088 ± 4.6498,149.5880 ± 4.0011,0.6750 ± 0.0000,0.0001 ± 0.0000,,
16000,441.9164 ± 4.7463,18.0548 ± 1.1765,59.9740 ± 8.6931,54.9500 ± 8.2162,0.6175 ± 0.0335,0.2115 ± 0.0708,0.1265 ± 0.0470,-15172.0913 ± 554.9978,-14677.9362 ± 327.4002,-15216.9135 ± 549.5938,-14725.3907 ± 358.8969,297.3605 ± 41.3996,127.9381 ± 5.6271,145.4750 ± 8.0872,0.7200 ± 0.0000,0.0001 ± 0.0000,13754.0325 ± 503.0903,-13351.4960 ± 518.4626
17000,469.8595 ± 5.7183,5.5452 ± 0.4315,60.7960 ± 14.2537,55.7370 ± 10.8949,0.6064 ± 0.0561,0.2054 ± 0.0848,0.1217 ± 0.0500,-15219.0024 ± 738.1220,-14822.2229 ± 456.3177,-15227.7473 ± 693.2993,-14836.0671 ± 464.1629,268.7644 ± 56.9974,120.2903 ± 6.4411,130.4508 ± 10.6457,0.7650 ± 0.0000,0.0001 ± 0.0000,,
