iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
8000,268.2249 ± 7.0396,24.1863 ± 0.1027,95.5900 ± 4.0809,95.4120 ± 1.8365,0.6197 ± 0.0653,0.1606 ± 0.0520,0.1203 ± 0.0320,-26923.4549 ± 712.7497,-23707.0500 ± 3009.5450,-18653.1988 ± 545.1878,-17807.5523 ± 714.1685,480.4696 ± 73.6030,163.2413 ± 6.1276,194.7687 ± 7.0326,0.3600 ± 0.0000,0.0001 ± 0.0000,14093.1707 ± 355.8132,-13628.4492 ± 410.6222
9000,303.2837 ± 7.0483,7.1555 ± 0.4139,91.7290 ± 7.7181,91.7720 ± 8.3463,0.6337 ± 0.0467,0.1870 ± 0.0470,0.1170 ± 0.0433,-23737.6759 ± 3840.7599,-21683.8884 ± 4793.0087,-17727.2914 ± 643.1383,-17097.9126 ± 972.4440,459.8066 ± 76.7595,158.9107 ± 6.4005,183.2919 ± 9.4472,0.4050 ± 0.0000,0.0001 ± 0.0000,,
10000,322.2727 ± 7.0735,23.3417 ± 1.3732,94.0010 ± 10.2610,91.9360 ± 9.8625,0.6187 ± 0.0649,0.1688 ± 0.0244,0.1062 ± 0.0258,-23436.8748 ± 4431.5288,-19690.4465 ± 3960.8097,-17765.9902 ± 968.4301,-16644.6430 ± 1201.1885,419.9738 ± 78.7567,155.5960 ± 6.6223,179.9827 ± 4.2502,0.4500 ± 0.0000,0.0001 ± 0.0000,13827.5164 ± 445.9727,-13375.6477 ± 592.3096
11000,356.4122 ± 7.0560,6.8062 ± 0.4661,85.9310 ± 9.0451,84.5580 ± 9.7715,0.5971 ± 0.0522,0.1799 ± 0.0590,0.1131 ± 0.0433,-20330.7243 ± 3463.7109,-18074.1141 ± 2722.8375,-16998.8980 ± 895.2131,-16123.7754 ± 960.3126,409.2912 ± 70.8076,152.3050 ± 6.8819,174.7965 ± 3.9595,0.4950 ± 0.0000,0.0001 ± 0.0000,,
12000,375.2764 ± 8.0106,21.5299 ± 1.0724,82.1900 ± 9.2303,79.4090 ± 8.2742,0.6111 ± 0.0713,0.1744 ± 0.0552,0.1078 ± 0.0309,-18160.4514 ± 1449.1613,-16432.3505 ± 1217.9513,-16449.4769 ± 569.9154,-15653.9245 ± 631.9810,374.6901 ± 75.5369,149.5301 ± 5.4522,169.7957 ± 8.6604,0.5400 ± 0.0000,0.0001 ± 0.0000,13443.2408 ± 362.9688,-13068.4103 ± 307.5537
13000,408.6390 ± 9.9731,6.2340 ± 0.2375,79.7780 ± 9.0997,77.7530 ± 6.6774,0.5951 ± 0.0526,0.1889 ± 0.0817,0.1104 ± 0.0422,-17137.4715 ± 1179.1156,-16058.4995 ± 1267.1040,-15933.3815 ± 796.5404,-15344.4751 ± 925.3142,286.4004 ± 68.3493,139.8455 ± 5.7646,153.7676 ± 7.4055,0.5850 ± 0.0000,0.0001 ± 0.0000,,
14000,427.9861 ± 9.9876,20.7255 ± 1.8038,79.6790 ± 16.0508,76.1530 ± 14.5142,0.5857 ± 0.0750,0.1876 ± 0.1062,0.1042 ± 0.0601,-17723.9056 ± 3762.6406,-16031.0309 ± 1881.8911,-16221.2247 ± 1566.3224,-15289.6912 ± 969.5558,282.0673 ± 79.4185,136.5125 ± 6.2133,146.6609 ± 8.4286,0.6300 ± 0.0000,0.0001 ± 0.0000,13646.5711 ± 611.8225,-13113.4850 ± 482.1962
15000,461.5657 ± 9.5127,5.8126 ± 0.2611,72.6260 ± 11.0630,68.8590 ± 8.2694,0.5981 ± 0.0665,0.2167 ± 0.0731,0.1133 ± 0.0546,-15980.5230 ± 876.4751,-15357.1500 ± 739.8915,-15532.3240 ± 638.6871,-15056.1181 ± 494.4653,256.5733 ± 58.7497,128.7513 ± 7.8294,140.2355 ± 12.2822,0.6750 ± 0.0000,0.0001 ± 0.0000,,
16000,479.0985 ± 9.8906,19.6627 ± 1.1803,68.3770 ± 9.2981,66.7690 ± 7.7622,0.6514 ± 0.0638,0.2372 ± 0.0824,0.1319 ± 0.0535,-15338.2563 ± 753.6992,-14749.1647 ± 556.2036,-14993.8246 ± 561.9518,-14545.5894 ± 460.7407,214.0723 ± 64.2832,121.5061 ± 5.0962,127.3779 ± 10.9332,0.7200 ± 0.0000,0.0001 ± 0.0000,13060.1196 ± 249.0354,-12847.9404 ± 251.0502
17000,508.8885 ± 10.9858,5.6908 ± 0.1654,63.3140 ± 7.6660,62.1810 ± 4.0986,0.6683 ± 0.0636,0.2508 ± 0.1183,0.1504 ± 0.0822,-14871.0636 ± 269.1277,-14376.5086 ± 319.0541,-14683.0587 ± 282.1967,-14269.0665 ± 329.1740,197.7871 ± 36.9053,116.5344 ± 6.5317,123.0914 ± 3.9723,0.7650 ± 0.0000,0.0001 ± 0.0000,,
