iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
0,19.4397 ± 1.0477,11.7747 ± 1.0512,25.8830 ± 0.4198,1.1090 ± 0.4944,0.5258 ± 0.0518,0.0704 ± 0.0172,0.0704 ± 0.0114,-17311.2090 ± 96.7561,-16766.8278 ± 187.2249,-17323.9127 ± 97.5652,-16780.7152 ± 189.9303,684.3248 ± 30.5256,684.3248 ± 30.5256,684.3248 ± 30.5256,0.0000 ± 0.0000,0.0001 ± 0.0000,17182.7438 ± 98.9634,-16569.2755 ± 203.4439
1,26.4541 ± 0.8829,2.8004 ± 0.8723,26.0110 ± 0.3863,1.2400 ± 0.4604,0.5138 ± 0.0381,0.0598 ± 0.0082,0.0646 ± 0.0055,-17309.5285 ± 100.4459,-16549.1209 ± 370.3897,-17322.3316 ± 100.9363,-16578.4159 ± 352.5331,691.3563 ± 76.4547,687.8406 ± 46.3129,685.0279 ± 31.2320,0.0000 ± 0.0000,0.0001 ± 0.0000,,
10,35.3838 ± 3.4056,5.4206 ± 1.0317,30.6570 ± 3.0752,7.2540 ± 4.0990,0.5790 ± 0.0547,0.0931 ± 0.0349,0.1040 ± 0.0381,-17558.8281 ± 471.9062,-15969.3020 ± 227.4250,-17295.3421 ± 139.0956,-16000.4371 ± 240.5180,650.4345 ± 37.8040,670.0996 ± 29.8594,671.7960 ± 23.9209,0.0005 ± 0.0000,0.0001 ± 0.0000,,
50,44.4298 ± 3.0578,7.7266 ± 1.0171,57.6110 ± 4.3586,51.1260 ± 6.9744,0.8207 ± 0.0275,0.2850 ± 0.0464,0.2971 ± 0.0397,-25583.2011 ± 1784.4917,-15530.9756 ± 1187.1594,-17868.6674 ± 473.2786,-15239.6142 ± 647.6014,661.1411 ± 54.3985,658.6782 ± 24.5914,649.3957 ± 29.6081,0.0023 ± 0.0000,0.0001 ± 0.0000,,
100,56.0798 ± 2.5476,7.0952 ± 0.3656,59.2110 ± 3.7331,57.5760 ± 3.8071,0.8288 ± 0.0553,0.3243 ± 0.1002,0.3361 ± 0.0987,-28842.9853 ± 735.5465,-19169.7270 ± 3493.1127,-17608.2830 ± 521.2250,-15570.0460 ± 435.8110,576.8049 ± 64.2106,640.6545 ± 24.6684,607.3647 ± 28.5220,0.0045 ± 0.0000,0.0001 ± 0.0000,,
500,72.4601 ± 0.8145,7.3383 ± 0.5263,62.6930 ± 5.9667,63.7250 ± 5.6552,0.8094 ± 0.0444,0.2920 ± 0.0717,0.3063 ± 0.0690,-30352.0231 ± 2065.0807,-24106.6997 ± 701.7317,-17486.2356 ± 532.9428,-15846.1006 ± 342.2281,423.9030 ± 23.2992,478.5566 ± 13.4370,440.5765 ± 12.0140,0.0225 ± 0.0000,0.0001 ± 0.0000,,
1000,86.2374 ± 1.8457,7.9488 ± 1.5651,66.0090 ± 5.7325,68.2760 ± 7.2188,0.7889 ± 0.0337,0.2513 ± 0.0261,0.2593 ± 0.0348,-29935.7976 ± 1842.3317,-24170.5373 ± 1104.0408,-17634.9867 ± 482.1883,-16008.7203 ± 660.6829,476.9376 ± 31.8630,353.7479 ± 10.1169,352.6995 ± 10.5146,0.0450 ± 0.0000,0.0001 ± 0.0000,,
2000,106.8920 ± 1.9169,24.4630 ± 1.7702,83.4830 ± 8.6177,83.4160 ± 8.7865,0.6880 ± 0.0380,0.1635 ± 0.0379,0.1667 ± 0.0351,-28438.7514 ± 1101.5476,-24871.8190 ± 765.3508,-18221.2585 ± 639.0360,-17210.0540 ± 801.9628,502.7682 ± 38.5468,249.3085 ± 6.7818,268.2305 ± 6.1495,0.0900 ± 0.0000,0.0001 ± 0.0000,13962.9121 ± 301.9173,-13356.9140 ± 277.1553
3000,142.2825 ± 2.3392,8.4151 ± 0.7201,91.2400 ± 4.7198,88.5920 ± 3.2995,0.6415 ± 0.0817,0.1174 ± 0.0224,0.1134 ± 0.0241,-27567.7236 ± 801.9685,-25132.6401 ± 354.6268,-18439.1675 ± 715.9160,-17441.4216 ± 826.7809,524.1508 ± 51.9866,213.7776 ± 5.4653,239.1102 ± 9.2822,0.1350 ± 0.0000,0.0001 ± 0.0000,,
4000,161.6711 ± 2.5966,24.0788 ± 0.6603,89.2630 ± 6.3763,88.7400 ± 4.3513,0.6559 ± 0.0383,0.1543 ± 0.0440,0.1450 ± 0.0396,-27857.0970 ± 892.9763,-25166.3747 ± 1090.6257,-18278.4624 ± 415.9167,-17447.8633 ± 384.6917,540.0309 ± 46.0331,196.0952 ± 5.6384,221.0681 ± 9.7408,0.1800 ± 0.0000,0.0001 ± 0.0000,13927.0206 ± 337.3300,-13403.6599 ± 179.3213
