shd,num_edges,bic,bdeu,posterior_predictive_loglik,neg_posterior_predictive_loglik,rank
3.0,7.0,-2314.823307264869,-2305.5907505701807,-2263.353824506288,2263.353824506288,1
6.0,8.0,-2317.995413346987,-2307.0119399456325,-2265.3068716257467,2265.3068716257467,2
6.0,8.0,-2317.995413346987,-2307.011939945631,-2265.306871625747,2265.306871625747,3
4.0,8.0,-2317.995413346987,-2307.0119399456316,-2265.306871625747,2265.306871625747,4
8.0,8.0,-2317.9954133469864,-2307.011939945632,-2265.306871625748,2265.306871625748,5
4.0,8.0,-2319.2917060246596,-2308.6550015974794,-2266.296742188933,2266.296742188933,6
6.0,8.0,-2322.952989593608,-2311.8964210353597,-2271.349688123011,2271.349688123011,7
