iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
26000,610.5824 ± 2.3036,15.0920 ± 0.4618,17.8090 ± 3.1042,27.1960 ± 2.3611,0.7212 ± 0.0629,0.5208 ± 0.0785,0.3152 ± 0.0708,-74967.6540 ± 721.8676,-74876.5837 ± 820.7100,-74097.9613 ± 725.5482,-74030.6642 ± 739.0064,401.9505 ± 91.4854,405.5990 ± 65.5194,411.4441 ± 82.7358,0.9000 ± 0.0000,0.0001 ± 0.0000,72505.2720 ± 890.4480,-72500.7463 ± 892.9564
27000,633.4115 ± 2.3710,5.4863 ± 0.1969,16.9290 ± 3.6896,27.0610 ± 2.2790,0.7424 ± 0.0622,0.5327 ± 0.0902,0.3260 ± 0.0945,-74827.4910 ± 737.5500,-74560.2734 ± 749.7953,-73781.5457 ± 481.8969,-73633.7917 ± 550.7586,388.5301 ± 102.9010,401.3619 ± 60.4240,393.9325 ± 70.5883,0.9000 ± 0.0000,0.0001 ± 0.0000,,
28000,646.8849 ± 2.4074,15.4504 ± 0.4314,18.7970 ± 2.9794,28.8680 ± 2.1739,0.7286 ± 0.0506,0.5069 ± 0.0860,0.3176 ± 0.0877,-75679.4815 ± 899.9142,-75397.5683 ± 928.0451,-74170.5614 ± 455.2517,-73978.4474 ± 419.6881,389.0178 ± 110.4629,382.1607 ± 63.4789,387.9630 ± 79.4868,0.9000 ± 0.0000,0.0001 ± 0.0000,72044.1543 ± 181.5795,-71949.7322 ± 115.0074
29000,670.3389 ± 2.5665,5.8321 ± 0.2370,20.2610 ± 3.3539,31.4110 ± 2.5418,0.7460 ± 0.0484,0.5201 ± 0.1168,0.3094 ± 0.0707,-76422.2201 ± 1355.0176,-75875.0562 ± 761.8161,-74686.9393 ± 747.4675,-74443.9984 ± 595.7716,343.4350 ± 52.5159,364.3837 ± 57.4310,349.3598 ± 47.5943,0.9000 ± 0.0000,0.0001 ± 0.0000,,
30000,684.3242 ± 2.5473,16.4609 ± 0.5267,22.1790 ± 2.1795,33.3550 ± 2.0886,0.7456 ± 0.0975,0.5356 ± 0.1320,0.3231 ± 0.0885,-78651.2384 ± 2553.8778,-76710.6072 ± 1474.5732,-75578.1354 ± 941.2462,-74934.9494 ± 783.0442,358.8279 ± 35.8801,338.1940 ± 50.6476,330.2829 ± 52.7320,0.9000 ± 0.0000,0.0001 ± 0.0000,72187.9067 ± 239.4759,-72077.9347 ± 284.0724
31000,708.4356 ± 2.7444,5.7985 ± 0.1786,19.4350 ± 2.6524,30.4240 ± 2.4924,0.7495 ± 0.0673,0.5413 ± 0.0786,0.3380 ± 0.1248,-88334.6526 ± 26868.5292,-87539.4910 ± 26303.0744,-75418.6976 ± 1685.8437,-75202.0214 ± 1825.1900,327.1684 ± 53.3106,310.6196 ± 47.3142,305.0839 ± 32.8949,0.9000 ± 0.0000,0.0001 ± 0.0000,,
32000,721.7999 ± 2.8087,15.6209 ± 0.8210,18.1150 ± 4.6961,28.7510 ± 3.3955,0.7555 ± 0.0731,0.5235 ± 0.1703,0.3446 ± 0.1012,-77550.2935 ± 5038.7046,-76023.1411 ± 2619.8844,-74729.3159 ± 1175.5719,-74354.7768 ± 912.8809,277.7281 ± 71.4621,289.6684 ± 29.1363,277.4396 ± 36.9825,0.9000 ± 0.0000,0.0001 ± 0.0000,72516.4892 ± 850.1639,-72359.9219 ± 862.6383
33000,745.0261 ± 3.3823,5.5695 ± 0.3360,16.9440 ± 4.2719,28.1650 ± 3.9899,0.7727 ± 0.0599,0.5790 ± 0.0675,0.3951 ± 0.0875,-74838.6676 ± 1313.6966,-74687.8514 ± 1237.6900,-73946.3517 ± 965.0520,-73821.1367 ± 888.8758,273.6181 ± 70.3149,263.3956 ± 17.6935,260.4153 ± 40.6507,0.9000 ± 0.0000,0.0001 ± 0.0000,,
34000,758.3560 ± 3.4051,15.3026 ± 0.8083,17.0200 ± 2.9962,28.1730 ± 3.5506,0.7524 ± 0.0187,0.5513 ± 0.0212,0.3299 ± 0.0385,-74826.4522 ± 765.6930,-74657.0669 ± 885.4670,-73935.9534 ± 612.8881,-73864.2842 ± 643.2450,229.3212 ± 21.0875,259.4146 ± 31.7186,246.0389 ± 36.5019,0.9000 ± 0.0000,0.0001 ± 0.0000,71951.5243 ± 127.0123,-71942.6472 ± 119.9534
35000,781.4216 ± 3.7736,5.4116 ± 0.1379,15.5570 ± 1.6409,26.6670 ± 2.0438,0.7688 ± 0.0480,0.5665 ± 0.0548,0.3786 ± 0.0756,-74135.0337 ± 621.4888,-73959.2793 ± 585.3706,-73426.7837 ± 400.8328,-73322.8265 ± 398.9545,239.0019 ± 19.4199,249.9611 ± 20.9801,275.9409 ± 13.0580,0.9000 ± 0.0000,0.0001 ± 0.0000,,
36000,794.6630 ± 3.8433,14.9180 ± 0.8402,15.7500 ± 3.3071,26.4460 ± 4.0472,0.7720 ± 0.0134,0.5668 ± 0.0256,0.3808 ± 0.0359,-74278.2183 ± 997.0146,-73786.4288 ± 614.5504,-73528.9473 ± 567.2335,-73232.8370 ± 394.2501,249.5122 ± 70.8405,246.4426 ± 35.2114,236.7755 ± 38.7067,0.9000 ± 0.0000,0.0001 ± 0.0000,71984.1921 ± 201.2609,-71908.8289 ± 112.9402
37000,817.2975 ± 4.0287,5.4221 ± 0.1831,15.4590 ± 3.0776,26.6500 ± 2.5696,0.7635 ± 0.0265,0.5651 ± 0.0427,0.3622 ± 0.0529,-74135.2444 ± 678.7649,-73802.7738 ± 714.4722,-73389.2956 ± 372.0988,-73167.8543 ± 357.4709,197.5380 ± 54.2078,229.0252 ± 46.7469,224.6493 ± 48.0102,0.9000 ± 0.0000,0.0001 ± 0.0000,,
38000,830.1826 ± 4.2097,14.4349 ± 0.9168,13.1010 ± 5.2547,24.3460 ± 4.0228,0.7802 ± 0.0648,0.6127 ± 0.1023,0.4134 ± 0.1213,-73692.7510 ± 791.5648,-73662.1191 ± 821.9410,-73167.7082 ± 542.5011,-73139.3789 ± 567.7409,237.7384 ± 96.7813,232.3810 ± 48.0287,225.0228 ± 61.6434,0.9000 ± 0.0000,0.0001 ± 0.0000,71934.5915 ± 164.7483,-71929.6759 ± 169.4449
39000,852.4075 ± 4.6760,5.3284 ± 0.1952,13.0030 ± 3.1858,25.0810 ± 2.5920,0.8107 ± 0.0225,0.6401 ± 0.0497,0.4456 ± 0.0637,-73772.6628 ± 720.7584,-73647.3369 ± 737.5089,-73209.1317 ± 414.7699,-73105.8647 ± 419.5421,212.5573 ± 61.0608,233.6238 ± 44.6665,222.6871 ± 58.4456,0.9000 ± 0.0000,0.0001 ± 0.0000,,
