iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
8000,274.7014 ± 4.1791,17.7350 ± 0.4659,32.1810 ± 2.0157,39.6620 ± 1.6804,0.7084 ± 0.0408,0.4147 ± 0.0757,0.2850 ± 0.0507,-88955.8813 ± 4079.0409,-86203.4240 ± 2380.7062,-80197.2793 ± 1475.9362,-79230.5047 ± 977.2944,3055.2967 ± 161.3191,1394.4626 ± 22.3186,1538.7551 ± 29.0189,0.3600 ± 0.0000,0.0001 ± 0.0000,74589.4886 ± 1126.6556,-74130.2235 ± 1080.7202
9000,301.6572 ± 4.3812,6.3132 ± 0.1757,30.6670 ± 2.8363,37.6610 ± 1.6078,0.6921 ± 0.0396,0.4151 ± 0.0563,0.2739 ± 0.0506,-84807.5289 ± 2945.1714,-83706.5331 ± 2551.9692,-79318.6953 ± 1423.2051,-78781.5771 ± 1047.4924,2962.2108 ± 139.0027,1339.7991 ± 20.8554,1473.6600 ± 9.8050,0.4050 ± 0.0000,0.0001 ± 0.0000,,
10000,317.5055 ± 4.5034,16.8968 ± 0.4396,29.3200 ± 2.5632,35.9690 ± 1.8140,0.7014 ± 0.0742,0.4002 ± 0.1285,0.2735 ± 0.0751,-82529.0414 ± 1117.7553,-81004.7724 ± 1423.5371,-78693.1903 ± 950.2461,-77709.8485 ± 1395.6634,3090.1587 ± 220.2484,1235.5344 ± 44.0134,1391.7769 ± 30.9019,0.4500 ± 0.0000,0.0001 ± 0.0000,74553.5468 ± 1691.0360,-73800.0836 ± 1957.1882
11000,343.0605 ± 4.7339,5.9777 ± 0.0917,25.5870 ± 2.7140,33.8090 ± 1.0988,0.6900 ± 0.0607,0.4524 ± 0.0519,0.2668 ± 0.0589,-78782.1742 ± 2235.2184,-78272.1720 ± 2313.7484,-76606.7728 ± 1698.6259,-76103.4323 ± 1715.1810,2997.9417 ± 129.1285,1141.1536 ± 27.8017,1307.3831 ± 37.0371,0.4950 ± 0.0000,0.0001 ± 0.0000,,
12000,357.8616 ± 4.8082,16.0562 ± 0.3041,25.7500 ± 3.6695,32.0780 ± 1.3452,0.7106 ± 0.0244,0.3938 ± 0.0880,0.2745 ± 0.0319,-78783.1097 ± 2173.8916,-77032.9606 ± 1412.8923,-77248.9712 ± 2058.2209,-75551.4907 ± 1375.2359,2850.1117 ± 92.0571,1081.7635 ± 26.5321,1256.0857 ± 16.9825,0.5400 ± 0.0000,0.0001 ± 0.0000,74565.2578 ± 1851.0098,-73040.4640 ± 1370.7183
13000,382.1386 ± 4.9750,5.7007 ± 0.0862,20.7790 ± 4.2567,30.4610 ± 0.9592,0.7545 ± 0.1159,0.5250 ± 0.1390,0.3496 ± 0.1583,-76915.7734 ± 1835.3631,-76516.7521 ± 1953.1279,-75614.5839 ± 1802.0319,-75192.2056 ± 1850.4297,2696.1851 ± 109.4064,1042.8397 ± 22.1990,1200.4038 ± 41.7351,0.5850 ± 0.0000,0.0001 ± 0.0000,,
14000,396.4178 ± 4.9496,15.5931 ± 0.1316,17.3640 ± 1.9047,28.7790 ± 0.9761,0.8141 ± 0.0479,0.5826 ± 0.0893,0.4055 ± 0.0656,-75684.5728 ± 1027.0585,-74955.7567 ± 1138.5255,-74689.5750 ± 1005.5231,-74013.5976 ± 980.6339,2424.2269 ± 223.7305,1000.3973 ± 35.0335,1124.9552 ± 64.2460,0.6300 ± 0.0000,0.0001 ± 0.0000,72916.5904 ± 1050.0843,-72289.1251 ± 895.6072
15000,420.2883 ± 5.0443,5.5453 ± 0.1409,18.4570 ± 2.7028,28.3180 ± 1.5718,0.7673 ± 0.0349,0.5216 ± 0.0543,0.3480 ± 0.0405,-75708.8115 ± 681.1798,-75406.5908 ± 810.5730,-74774.0519 ± 748.0342,-74506.1716 ± 912.0892,2405.3898 ± 202.8678,965.8087 ± 21.1327,1086.4202 ± 39.4409,0.6750 ± 0.0000,0.0001 ± 0.0000,,
16000,434.4016 ± 5.1359,15.2103 ± 0.3049,18.4490 ± 0.9225,27.8350 ± 0.8939,0.7185 ± 0.0286,0.4898 ± 0.0304,0.2915 ± 0.0473,-75456.3422 ± 1092.8124,-75143.6118 ± 1137.9331,-74662.9241 ± 1150.4467,-74204.1703 ± 1068.2168,2020.7775 ± 243.8144,919.9295 ± 19.1015,1032.6825 ± 62.8205,0.7200 ± 0.0000,0.0001 ± 0.0000,72995.3292 ± 1036.4550,-72458.3728 ± 922.9291
17000,457.6990 ± 5.0759,5.4870 ± 0.0632,19.1810 ± 2.0967,27.4100 ± 0.5401,0.7300 ± 0.0761,0.4881 ± 0.0590,0.3013 ± 0.0867,-75660.1973 ± 489.2140,-75267.1403 ± 657.2414,-74903.7460 ± 462.7313,-74565.9940 ± 592.8891,2064.3735 ± 586.9855,872.9620 ± 14.0671,961.1384 ± 66.0245,0.7650 ± 0.0000,0.0001 ± 0.0000,,
18000,471.8017 ± 5.1835,15.3817 ± 0.2093,20.4170 ± 2.0211,28.7080 ± 0.7843,0.7324 ± 0.0783,0.4783 ± 0.1029,0.2990 ± 0.0794,-76048.7928 ± 1120.8073,-75238.2238 ± 961.6997,-75061.4839 ± 851.2281,-74441.3900 ± 814.4443,1743.6195 ± 487.4630,828.1521 ± 38.5577,894.8283 ± 29.6136,0.8100 ± 0.0000,0.0001 ± 0.0000,73138.6194 ± 802.2764,-72669.5741 ± 742.2213
19000,495.0852 ± 5.2223,5.5010 ± 0.1558,18.5840 ± 1.9206,27.5850 ± 1.7324,0.7304 ± 0.0666,0.4990 ± 0.1151,0.3067 ± 0.0595,-75573.5202 ± 658.3399,-75143.7146 ± 997.2837,-74867.7622 ± 607.6590,-74502.8387 ± 919.7417,1575.4517 ± 297.9370,776.8596 ± 47.0621,839.4016 ± 30.8673,0.8550 ± 0.0000,0.0001 ± 0.0000,,
20000,509.3377 ± 5.3410,15.2001 ± 0.5046,18.8580 ± 2.7875,27.6360 ± 2.2923,0.7301 ± 0.0595,0.4825 ± 0.1083,0.2927 ± 0.0681,-75523.7131 ± 325.4972,-75231.5526 ± 531.6752,-74759.8966 ± 250.0005,-74452.6519 ± 439.2772,1573.8394 ± 286.9588,707.7555 ± 67.0574,796.1429 ± 62.2110,0.9000 ± 0.0000,0.0001 ± 0.0000,73027.1994 ± 545.0724,-72707.9086 ± 567.0733
21000,532.5109 ± 5.6488,5.5426 ± 0.1822,18.8730 ± 3.8564,28.0590 ± 1.9388,0.7356 ± 0.0717,0.5047 ± 0.0897,0.3109 ± 0.0889,-75560.7545 ± 1064.0359,-75150.8406 ± 882.5291,-74794.2541 ± 845.6754,-74371.7323 ± 721.9401,1357.4812 ± 273.9051,622.6251 ± 82.8590,689.8454 ± 97.0756,0.9000 ± 0.0000,0.0001 ± 0.0000,,
22000,546.4004 ± 5.8283,15.0890 ± 0.7858,19.1100 ± 5.0544,27.4100 ± 3.4979,0.7433 ± 0.0910,0.5072 ± 0.0851,0.3168 ± 0.1064,-75960.8245 ± 1568.5049,-75949.4001 ± 1571.0233,-75080.8706 ± 1276.4309,-75060.4559 ± 1282.4986,1139.1711 ± 293.5459,566.5815 ± 60.5002,613.6244 ± 90.3753,0.9000 ± 0.0000,0.0001 ± 0.0000,73254.9061 ± 870.0538,-73214.3088 ± 882.7841
23000,569.2800 ± 5.9980,5.3783 ± 0.2295,17.6340 ± 1.5016,26.3250 ± 2.6215,0.7357 ± 0.0911,0.5113 ± 0.0950,0.3194 ± 0.1087,-75061.2152 ± 970.0493,-74881.4947 ± 751.8846,-74218.5406 ± 790.1243,-74125.9594 ± 688.7064,895.0259 ± 153.9188,528.5436 ± 67.6380,567.5813 ± 70.5488,0.9000 ± 0.0000,0.0001 ± 0.0000,,
24000,583.0189 ± 6.1263,15.1063 ± 0.6811,17.5630 ± 1.2813,27.4270 ± 2.7684,0.7415 ± 0.0550,0.5298 ± 0.0651,0.3400 ± 0.0884,-75102.2822 ± 634.0149,-74944.9225 ± 839.6590,-74180.6717 ± 787.7379,-74090.7167 ± 869.0511,777.3591 ± 166.3959,481.6557 ± 66.8423,505.3601 ± 99.1311,0.9000 ± 0.0000,0.0001 ± 0.0000,72359.6931 ± 851.1045,-72342.8613 ± 859.8082
25000,606.2374 ± 6.4273,5.5192 ± 0.3644,16.9360 ± 3.3865,28.3130 ± 4.0712,0.7771 ± 0.0732,0.5611 ± 0.0704,0.3715 ± 0.0908,-75637.1681 ± 1049.8956,-75289.7450 ± 843.7413,-74374.2051 ± 790.9039,-74157.2089 ± 689.2838,740.1927 ± 122.5952,439.1976 ± 79.7484,450.8399 ± 79.5171,0.9000 ± 0.0000,0.0001 ± 0.0000,,
26000,619.6869 ± 6.4153,14.0328 ± 4.1473,20.1290 ± 3.1836,24.6750 ± 13.6369,0.7334 ± 0.0683,0.4275 ± 0.1512,0.3151 ± 0.0709,-81995.1734 ± 8555.9159,-75715.9850 ± 1268.9119,-78813.5093 ± 8363.4538,-74469.1814 ± 1002.6609,657.1620 ± 108.1938,416.5750 ± 76.9228,435.8731 ± 83.0131,0.9000 ± 0.0000,0.0001 ± 0.0000,76678.3983 ± 9468.6792,-72434.6020 ± 867.0851
27000,642.0469 ± 7.1689,5.6190 ± 0.1911,18.1930 ± 2.6963,29.2440 ± 2.7696,0.7651 ± 0.0693,0.5613 ± 0.0896,0.3457 ± 0.0709,-76396.0657 ± 3050.2779,-76282.0962 ± 3100.0474,-74602.2971 ± 1021.4894,-74526.7585 ± 989.9848,643.2656 ± 122.2820,417.7038 ± 113.4117,420.6143 ± 96.8840,0.9000 ± 0.0000,0.0001 ± 0.0000,,
28000,655.6812 ± 7.6455,15.3989 ± 1.0913,18.2650 ± 3.6058,28.5530 ± 5.0470,0.7532 ± 0.0394,0.5378 ± 0.0603,0.3338 ± 0.0214,-76086.6473 ± 1823.4122,-75321.5273 ± 795.2249,-74722.4245 ± 735.2638,-74331.0440 ± 456.8503,645.4176 ± 97.7755,381.3113 ± 88.5586,412.6644 ± 89.2207,0.9000 ± 0.0000,0.0001 ± 0.0000,72676.5598 ± 963.5084,-72648.8107 ± 970.2663
29000,678.7211 ± 8.0534,5.4672 ± 0.3789,18.4470 ± 6.3834,27.4630 ± 4.5729,0.7301 ± 0.0513,0.5056 ± 0.0961,0.3111 ± 0.0630,-75418.8610 ± 2115.2761,-74524.3852 ± 1055.1203,-73969.2545 ± 1118.5793,-73544.7465 ± 616.8003,669.2009 ± 122.3324,363.0176 ± 76.2295,406.2236 ± 74.4249,0.9000 ± 0.0000,0.0001 ± 0.0000,,
