iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
0,19.1404 ± 0.9464,12.6207 ± 1.0444,17.5820 ± 0.2412,1.0830 ± 0.4870,0.5510 ± 0.0643,0.1627 ± 0.0302,0.1732 ± 0.0380,-93235.6120 ± 361.7558,-87496.5943 ± 1829.5970,-93240.3581 ± 362.1916,-87491.9689 ± 1834.2657,4644.3371 ± 404.2801,4644.3371 ± 404.2801,4644.3371 ± 404.2801,0.0000 ± 0.0000,0.0001 ± 0.0000,93126.8496 ± 374.3237,-87290.7780 ± 1867.2027
1,26.6987 ± 1.3937,3.2526 ± 0.8683,17.6840 ± 0.3136,1.2820 ± 0.5643,0.5695 ± 0.0579,0.1716 ± 0.0359,0.1715 ± 0.0191,-93104.4161 ± 361.4113,-85761.6881 ± 1739.1839,-93108.6807 ± 362.4707,-85743.5769 ± 1733.8090,4693.7484 ± 180.2931,4669.0429 ± 290.4394,4649.2780 ± 381.3736,0.0000 ± 0.0000,0.0001 ± 0.0000,,
10,35.5629 ± 1.8785,6.5487 ± 2.1530,20.5650 ± 2.1648,8.1600 ± 3.7920,0.7018 ± 0.0780,0.3640 ± 0.0608,0.3623 ± 0.0594,-95863.5235 ± 5340.0480,-79280.7043 ± 568.7716,-90319.3447 ± 627.5544,-78392.0730 ± 803.2014,4390.0195 ± 155.9262,4514.3737 ± 87.3418,4538.5183 ± 156.3948,0.0005 ± 0.0000,0.0001 ± 0.0000,,
50,48.6028 ± 1.7091,12.0295 ± 0.6626,34.9220 ± 1.5706,39.0910 ± 3.1595,0.6496 ± 0.0550,0.2444 ± 0.0385,0.2628 ± 0.0252,-152392.7856 ± 5966.7768,-79223.9762 ± 4460.4056,-85645.1139 ± 643.7407,-77178.2690 ± 2833.3540,4243.3815 ± 173.7559,4319.3771 ± 43.4890,4240.5515 ± 77.2484,0.0023 ± 0.0000,0.0001 ± 0.0000,,
100,59.1463 ± 1.3355,9.7413 ± 0.6389,35.7680 ± 1.8948,41.9450 ± 1.9056,0.6639 ± 0.0411,0.2646 ± 0.0600,0.2848 ± 0.0671,-164798.8440 ± 5021.6084,-112336.8542 ± 25206.2778,-84719.3989 ± 504.8827,-80028.6511 ± 743.1426,3798.6963 ± 210.1482,4195.5523 ± 42.6808,4000.3284 ± 44.8157,0.0045 ± 0.0000,0.0001 ± 0.0000,,
500,76.5271 ± 1.8526,9.7568 ± 0.5097,41.1220 ± 2.0576,47.8760 ± 0.2672,0.6406 ± 0.1435,0.2849 ± 0.2101,0.2991 ± 0.2099,-159120.1128 ± 5548.5916,-140326.8958 ± 2937.7706,-87848.4289 ± 270.8885,-84202.8214 ± 780.2963,2990.8667 ± 215.9976,3085.8726 ± 34.7728,2972.2907 ± 39.7795,0.0225 ± 0.0000,0.0001 ± 0.0000,,
1000,101.5755 ± 2.4357,8.4406 ± 0.5061,44.0320 ± 2.2182,48.1090 ± 0.2383,0.4936 ± 0.0669,0.1400 ± 0.0400,0.1483 ± 0.0407,-151473.5838 ± 2281.3358,-144147.5539 ± 4957.3509,-88429.5896 ± 513.8197,-85323.1535 ± 357.0063,2404.7252 ± 151.4887,2475.5854 ± 26.8307,2432.3808 ± 70.9195,0.0450 ± 0.0000,0.0001 ± 0.0000,,
2000,126.2153 ± 1.0444,20.7822 ± 0.7033,41.6720 ± 1.2990,48.2300 ± 0.4259,0.6064 ± 0.0364,0.1606 ± 0.0178,0.1734 ± 0.0220,-152187.2891 ± 4733.6206,-142367.1645 ± 5131.1577,-87839.9359 ± 671.3194,-85494.2177 ± 396.1811,2734.4927 ± 227.2990,2008.8481 ± 46.4537,2026.9390 ± 46.5380,0.0900 ± 0.0000,0.0001 ± 0.0000,75133.2113 ± 915.9516,-73443.2541 ± 207.5564
3000,161.3947 ± 0.9465,7.6574 ± 0.5135,40.7040 ± 1.3279,48.2090 ± 0.4316,0.6550 ± 0.0522,0.2132 ± 0.0432,0.2261 ± 0.0433,-151507.8744 ± 4970.1211,-145799.3606 ± 4200.2941,-87607.5367 ± 523.3878,-85409.4871 ± 317.0811,2732.6182 ± 145.8478,1780.7729 ± 66.6445,1863.2500 ± 59.0897,0.1350 ± 0.0000,0.0001 ± 0.0000,,
4000,182.6052 ± 1.0072,20.0315 ± 0.2148,39.9080 ± 1.1283,48.3020 ± 0.4266,0.6590 ± 0.0380,0.2032 ± 0.0407,0.2008 ± 0.0274,-152104.3184 ± 5082.5647,-144203.5952 ± 5047.6268,-87314.7663 ± 1186.6286,-85711.4491 ± 793.0683,2771.4991 ± 106.3793,1662.2418 ± 83.4659,1732.1109 ± 73.3172,0.1800 ± 0.0000,0.0001 ± 0.0000,74354.9890 ± 568.6777,-73569.8640 ± 174.5430
