iteration,training_time_seconds_mean,training_time_seconds_std,history_eval_time_seconds_mean,history_eval_time_seconds_std,expected_shd_mean,expected_shd_std,expected_edges_mean,expected_edges_std,roc_auc_mean,roc_auc_std,prc_auc_mean,prc_auc_std,ave_prec_mean,ave_prec_std,bic_mean_mean,bic_mean_std,bic_max_mean,bic_max_std,bdeu_mean_mean,bdeu_mean_std,bdeu_max_mean,bdeu_max_std,loss_mean,loss_std,avg_loss_mean,avg_loss_std,smooth_loss_mean,smooth_loss_std,epsilon_mean,epsilon_std,learning_rate_mean,learning_rate_std,neg_avg_predictive_log_likelihood_mean,neg_avg_predictive_log_likelihood_std,predictive_log_likelihood_best_mean,predictive_log_likelihood_best_std
0,17.45235195159912,0.9604795697293567,8.76152868270874,1.1352889621569067,8.652000000000001,0.26771253239249,1.116,0.4684735851678299,0.5470982142857143,0.13520918620935268,0.15328835515380868,0.07984142529182764,0.16064095157930589,0.05215801216481228,-2907.9413534462556,43.47330727127152,-2541.139275710066,113.07778015891942,-2908.3343719709765,43.58244945082662,-2533.1816613260435,115.93868593838307,326.1596313476563,19.639385208244942,326.1596313476563,19.639385208244942,326.1596313476563,19.639385208244942,0.0,0.0,0.0001,0.0,2882.086280626735,41.95030173657201,-2496.296289531051,117.72340804860951
1,21.468092823028563,2.294043097813378,1.138072633743286,0.6814129918788083,8.717,0.27795233404308733,1.3519999999999999,0.5449266005619472,0.6852678571428571,0.14116428623383526,0.22656477356359872,0.09785716907175886,0.25565446681729576,0.07789903245078189,-2897.3747222658094,35.859575041485456,-2435.2381866941514,80.24189937026804,-2897.092840661933,36.22817230841268,-2419.0809940932554,96.64615140033796,317.32188720703124,25.522719397755086,321.7407592773437,17.597504651480936,325.2758544921875,18.359663384072345,9.000301361083984e-05,0.0,0.0001,0.0,,,,
10,30.589079999923705,0.7684252352174951,3.893024730682373,0.9368927176701692,12.440000000000001,1.7624166646965185,8.367999999999999,2.9512065329285235,0.6399553571428571,0.06837064866951167,0.25690194142418865,0.08188596648869487,0.26792110383156975,0.08914348757075971,-2835.822313182215,34.254653194025444,-2341.9423486831197,36.74101704247268,-2721.1437093660434,38.3115030725374,-2303.0800455743542,20.757599602215894,306.0904113769531,17.481756888731596,318.1555236816406,10.58771462394924,319.32183837890625,12.424200272556114,0.0008999705314636,0.0,0.0001,0.0,,,,
50,33.736392402648924,0.3956893021699359,2.541687822341919,0.7129666522931807,22.306,0.9001208252229255,25.726,0.8212444824776596,0.6113839285714285,0.10429267994410478,0.20885901158840023,0.07918150085745604,0.23089139893384916,0.06982614254796037,-3051.9505341955924,15.193818258599904,-2425.980632797243,106.83556898325804,-2424.4535369141754,33.955524941554586,-2330.6496082728654,15.33025463770213,263.14479064941406,13.558632602333063,289.5310974121094,11.764102659519184,269.57948608398436,10.57032779394606,0.0044999718666076,0.0,0.0001,0.0,,,,
100,37.27361378669739,2.1041183027733816,2.232414150238037,0.04306157442059923,22.762,0.6926001732601582,26.579999999999995,0.8328490259344731,0.6462053571428571,0.11466242149206284,0.23453662129047012,0.09331353980939748,0.25928112745560866,0.09158037239705537,-3072.9088147081256,15.480247122949507,-2873.388439312036,185.44034581968563,-2414.808363852088,38.672591802594596,-2385.8724493134628,24.248793286977527,229.3797119140625,24.08246115279276,265.79128112792966,9.754936652438802,229.7878662109375,6.425110905679663,0.0090000033378601,0.0,0.0001,0.0,,,,
500,51.94397444725037,0.48479350196241316,2.2209627628326416,0.0162770810832818,23.726000000000003,0.7726448084339916,28.0,0.0,0.5975446428571429,0.058764101854558784,0.21125231626323523,0.05943009888253761,0.22591124102936253,0.06170584172496163,-3080.7294443742267,18.172756655480033,-3080.7294443742257,18.172756655480033,-2385.8724493134678,24.248793286977115,-2385.872449313464,24.248793286977286,132.00450744628907,5.85551108256079,148.0235809326172,5.553278378505422,134.38342742919923,8.973391786092032,0.0450000166893005,0.0,0.0001,0.0,,,,
1000,58.17162775993347,0.4757794899934949,2.245669221878052,0.024184026155293577,23.759999999999998,0.6000416652200081,28.0,0.0,0.5950892857142857,0.05656511614482057,0.2235665652802749,0.07805983892445872,0.2043014941780766,0.06382714296811974,-3080.729444374227,18.17275665547991,-3080.7294443742257,18.172756655480146,-2385.8724493134673,24.248793286977183,-2385.872449313464,24.248793286977183,198.37677307128905,15.459839004712626,108.02970123291016,2.2224826560129776,112.49754791259765,4.942561650320558,0.090000033378601,0.0,0.0001,0.0,,,,
2000,68.10712666511536,0.5149889419467085,7.514533185958863,0.3062248767717247,22.546,2.2612949829688285,26.689,2.1941325165085175,0.5645089285714285,0.0718606144099819,0.2231093635301938,0.04099553624687996,0.15893506287909062,0.019888373596063064,-2916.697418023735,235.00290563463915,-2768.9823039567245,305.8211512742894,-2372.3737499917524,35.424447192788996,-2357.7824293489643,47.84784018531588,270.42038879394534,19.295186765996114,82.05738983154296,1.5385061152133854,97.89399871826171,2.058223143418698,0.1800000071525573,0.0,0.0001,0.0,2248.326321290128,30.681588829071597,-2243.5015719048442,33.45269563059128
3000,82.91581377983093,0.6895427076794582,2.147516107559204,0.06780801209606094,20.887,2.0298325054053112,24.936,2.2648658900694323,0.6428571428571429,0.07252747049499975,0.2662103305573265,0.04880216837761097,0.21999395848547496,0.04487286096709649,-2708.345035435332,188.62111517116884,-2539.9094780239566,131.78279924266795,-2356.9018834294884,30.112457354299536,-2336.805461183548,26.485626414741148,344.1434265136719,27.033703081935805,57.350145721435545,2.339353851705349,78.6328353881836,2.484995014130943,0.2699999213218689,0.0,0.0001,0.0,,,,
4000,92.46547198295593,0.8223297798052355,7.102542781829834,0.21972556572812624,18.862000000000002,1.5189577018468954,23.089,1.4977791893333279,0.6756696428571429,0.10376943818398754,0.27864297590243514,0.1536394717739678,0.28490002370801737,0.15637527771886964,-2553.18599814144,86.61867445736068,-2451.7945910710896,81.15022333558962,-2345.0802202217387,32.26777899069334,-2321.8984851928026,30.0861621331334,297.02777099609375,18.41596560440316,38.52691421508789,1.4332536833259923,60.81922149658203,2.700169043949136,0.3599999547004699,0.0,0.0001,0.0,2239.7392849755997,24.901683448474586,-2234.1612115979588,24.07899962949112
