iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
8000,415.7717 ± 5.5394,30.7145 ± 2.3812,118.1490 ± 11.5544,81.0440 ± 13.4000,0.5065 ± 0.0146,0.0402 ± 0.0085,0.0376 ± 0.0022,-18709.1505 ± 513.7727,-17729.9964 ± 275.2800,-18201.4230 ± 298.6840,-17341.5489 ± 285.6669,136.5953 ± 22.1943,137.0332 ± 3.8443,134.2159 ± 4.8843,0.3600 ± 0.0000,0.0001 ± 0.0000,17077.2818 ± 225.6969,-16282.0756 ± 290.1874
9000,460.9466 ± 5.0411,9.7762 ± 0.4393,119.3810 ± 6.6191,81.1910 ± 6.7174,0.4916 ± 0.0206,0.0360 ± 0.0086,0.0363 ± 0.0041,-18358.3430 ± 309.4150,-17617.8341 ± 257.1462,-17869.6100 ± 266.4540,-17114.8043 ± 248.2998,130.1015 ± 19.2430,137.2256 ± 5.2365,137.7069 ± 5.7999,0.4050 ± 0.0000,0.0001 ± 0.0000,,
10000,485.8662 ± 4.1105,32.4795 ± 2.6513,127.6570 ± 14.7206,89.1260 ± 15.1439,0.4870 ± 0.0457,0.0403 ± 0.0131,0.0384 ± 0.0064,-18451.5955 ± 395.2596,-17647.6609 ± 322.4671,-17539.8511 ± 343.2048,-16770.9517 ± 421.3038,112.1690 ± 12.1717,136.0707 ± 5.0611,136.4915 ± 6.9306,0.4500 ± 0.0000,0.0001 ± 0.0000,16268.2004 ± 367.6738,-15415.3626 ± 552.0589
11000,532.5716 ± 3.4143,10.1334 ± 0.6596,128.7700 ± 7.2347,90.0180 ± 7.0357,0.4719 ± 0.0230,0.0328 ± 0.0070,0.0337 ± 0.0028,-18467.4024 ± 435.9373,-17288.6406 ± 461.1145,-17384.8626 ± 358.0053,-16414.8327 ± 564.9913,130.8454 ± 17.4787,135.9652 ± 6.2912,135.8819 ± 5.8306,0.4950 ± 0.0000,0.0001 ± 0.0000,,
12000,557.3270 ± 3.8805,32.6631 ± 1.4877,133.0090 ± 10.9207,92.2050 ± 9.9780,0.4583 ± 0.0343,0.0333 ± 0.0099,0.0322 ± 0.0034,-17767.3915 ± 161.2609,-16960.9097 ± 131.3052,-16801.4749 ± 250.8976,-16014.8129 ± 246.0300,148.5845 ± 27.7541,137.2335 ± 5.4402,140.2904 ± 7.8809,0.5400 ± 0.0000,0.0001 ± 0.0000,15513.5587 ± 411.0966,-14734.0550 ± 373.5209
13000,604.2025 ± 5.0083,9.8923 ± 0.5696,132.6650 ± 11.0268,91.5500 ± 10.4790,0.4409 ± 0.0305,0.0282 ± 0.0077,0.0318 ± 0.0016,-17706.6894 ± 194.7612,-16750.1448 ± 145.7387,-16553.1701 ± 214.6656,-15719.2003 ± 231.7173,125.1332 ± 25.9199,137.4907 ± 6.2699,135.0086 ± 10.2319,0.5850 ± 0.0000,0.0001 ± 0.0000,,
14000,629.1123 ± 5.6208,33.9101 ± 1.0525,139.8780 ± 5.8144,100.3920 ± 5.9388,0.4691 ± 0.0325,0.0312 ± 0.0056,0.0320 ± 0.0013,-17937.3920 ± 932.7193,-17203.0939 ± 843.0299,-16256.3198 ± 441.0653,-15623.5541 ± 402.2524,141.9664 ± 32.5163,135.1497 ± 10.4806,134.8268 ± 10.2463,0.6300 ± 0.0000,0.0001 ± 0.0000,14736.5052 ± 433.1009,-14126.8094 ± 445.3508
15000,678.4786 ± 6.2124,11.0117 ± 1.2106,144.7490 ± 13.1697,108.5610 ± 16.4527,0.4724 ± 0.0110,0.0348 ± 0.0079,0.0338 ± 0.0035,-18304.4406 ± 1205.1454,-17162.2090 ± 709.8962,-16074.5096 ± 365.1914,-15262.5454 ± 380.3892,116.2636 ± 23.0358,127.2797 ± 8.9076,122.6306 ± 10.3450,0.6750 ± 0.0000,0.0001 ± 0.0000,,
16000,703.8127 ± 6.3833,35.1158 ± 1.3363,144.5200 ± 9.6347,109.4270 ± 10.0149,0.4834 ± 0.0134,0.0380 ± 0.0100,0.0343 ± 0.0012,-17987.1143 ± 670.9986,-17147.3290 ± 576.9554,-15762.5853 ± 448.7996,-15064.3049 ± 531.2838,117.7001 ± 26.6842,119.5139 ± 3.2810,117.0768 ± 3.8775,0.7200 ± 0.0000,0.0001 ± 0.0000,14041.9056 ± 489.9703,-13407.6989 ± 548.6970
17000,753.3675 ± 6.7772,10.9433 ± 0.5590,147.2500 ± 10.8431,112.0330 ± 11.5950,0.4781 ± 0.0238,0.0352 ± 0.0060,0.0338 ± 0.0016,-17340.2879 ± 850.3158,-16436.3662 ± 511.4055,-15146.8207 ± 574.6335,-14580.0877 ± 422.8168,113.9308 ± 16.7261,114.8001 ± 3.3221,109.4706 ± 2.7669,0.7650 ± 0.0000,0.0001 ± 0.0000,,
