iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
10000,511.9643 ± 18.7174,48.7730 ± 3.6940,216.1530 ± 16.1346,188.1010 ± 17.4180,0.4747 ± 0.0437,0.0358 ± 0.0092,0.0337 ± 0.0039,-36404.8541 ± 8383.3240,-34012.8456 ± 8441.7855,-16548.7377 ± 727.3220,-15840.9997 ± 583.8862,568.6484 ± 80.5546,129.8624 ± 7.3136,171.8260 ± 12.7596,0.4500 ± 0.0000,0.0001 ± 0.0000,13456.1936 ± 405.8306,-12877.1110 ± 299.6974
11000,575.4122 ± 21.6507,16.2957 ± 2.9526,212.2640 ± 26.7024,183.3680 ± 30.7689,0.4717 ± 0.0198,0.0342 ± 0.0094,0.0348 ± 0.0053,-36176.3771 ± 10424.4995,-32909.1250 ± 9289.5953,-16138.4019 ± 923.5508,-15380.5067 ± 640.5018,564.8283 ± 65.9899,130.2555 ± 7.4650,170.4143 ± 15.5873,0.4950 ± 0.0000,0.0001 ± 0.0000,,
12000,606.1963 ± 23.4737,47.3580 ± 6.3233,209.0110 ± 31.7931,180.1140 ± 36.2632,0.4817 ± 0.0390,0.0352 ± 0.0086,0.0358 ± 0.0057,-35515.1373 ± 10290.9462,-33838.7797 ± 9758.7864,-16550.8919 ± 1126.3949,-15891.0137 ± 985.4635,494.4156 ± 67.5586,135.4823 ± 4.7289,166.7696 ± 3.3746,0.5400 ± 0.0000,0.0001 ± 0.0000,13417.5236 ± 602.1081,-12896.2875 ± 487.1266
13000,668.3624 ± 28.6653,15.9010 ± 3.1941,212.6770 ± 38.0970,183.9140 ± 41.0093,0.4575 ± 0.0313,0.0344 ± 0.0081,0.0331 ± 0.0020,-34723.8281 ± 10141.9456,-29207.0994 ± 10794.0599,-16781.4078 ± 1190.9973,-15915.1051 ± 1027.4467,427.8719 ± 69.7318,134.8878 ± 4.0294,159.1618 ± 2.6908,0.5850 ± 0.0000,0.0001 ± 0.0000,,
14000,706.5854 ± 35.0822,47.9823 ± 5.7389,216.1790 ± 33.7693,188.1990 ± 35.4674,0.4763 ± 0.0346,0.0445 ± 0.0106,0.0345 ± 0.0041,-35457.9007 ± 9883.6455,-34135.8827 ± 9904.6680,-16523.3811 ± 924.3077,-15943.3124 ± 875.3817,421.0982 ± 47.1111,132.3319 ± 8.2041,158.3225 ± 5.6413,0.6300 ± 0.0000,0.0001 ± 0.0000,13458.0239 ± 335.9246,-12991.1864 ± 333.8190
15000,770.4017 ± 39.8139,16.2915 ± 1.4648,222.0420 ± 18.6417,194.5320 ± 19.1000,0.4624 ± 0.0315,0.0408 ± 0.0113,0.0330 ± 0.0038,-35788.7950 ± 7408.7989,-30414.3962 ± 11213.7389,-16509.1182 ± 886.6214,-15690.9628 ± 943.9276,320.6682 ± 49.1582,126.7934 ± 9.6624,145.1182 ± 10.2231,0.6750 ± 0.0000,0.0001 ± 0.0000,,
16000,801.2465 ± 40.8977,47.5326 ± 4.6964,215.5840 ± 30.0378,187.9710 ± 32.7989,0.4796 ± 0.0137,0.0418 ± 0.0067,0.0332 ± 0.0012,-34439.4759 ± 7191.2336,-29813.9852 ± 10568.2603,-16590.6614 ± 711.0889,-15764.7792 ± 791.2092,324.6902 ± 36.2915,122.6551 ± 8.3733,139.2455 ± 11.2607,0.7200 ± 0.0000,0.0001 ± 0.0000,13672.6163 ± 501.1844,-13193.9381 ± 474.9350
17000,862.1584 ± 43.9622,13.9719 ± 6.0470,192.4150 ± 81.4261,162.4530 ± 90.3415,0.4822 ± 0.0319,0.0390 ± 0.0163,0.0339 ± 0.0020,-34573.6007 ± 8062.5901,-24360.2622 ± 3756.3531,-17394.1538 ± 1895.2262,-16641.1227 ± 2280.2824,302.7349 ± 36.1761,119.9050 ± 7.7307,136.8322 ± 8.2681,0.7650 ± 0.0000,0.0001 ± 0.0000,,
18000,891.5091 ± 46.5372,43.5402 ± 6.5343,192.0220 ± 38.4770,163.3070 ± 43.5787,0.4914 ± 0.0168,0.0409 ± 0.0055,0.0342 ± 0.0018,-30545.8109 ± 12694.1053,-22402.1695 ± 7867.3213,-15595.2068 ± 855.7208,-14815.8943 ± 590.1221,245.1146 ± 36.7205,115.3080 ± 8.6754,126.2513 ± 12.3340,0.8100 ± 0.0000,0.0001 ± 0.0000,13240.3632 ± 309.9438,-12785.0316 ± 211.2112
19000,949.5934 ± 51.7775,13.9069 ± 1.5552,185.4750 ± 21.2295,155.7180 ± 25.9049,0.4962 ± 0.0198,0.0392 ± 0.0111,0.0343 ± 0.0026,-28660.5319 ± 12380.4000,-20676.6419 ± 5748.1916,-15492.1297 ± 815.4776,-14725.9132 ± 684.6910,220.2292 ± 56.5958,111.4221 ± 8.6328,123.6235 ± 13.0870,0.8550 ± 0.0000,0.0001 ± 0.0000,,
