iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
30000,1231.5342 ± 26.4179,38.2730 ± 2.2006,165.0520 ± 13.3597,136.5700 ± 16.6399,0.5044 ± 0.0229,0.0711 ± 0.0182,0.0369 ± 0.0025,-17655.2238 ± 2072.4525,-16932.4798 ± 1676.3979,-14595.2092 ± 860.1519,-14284.4098 ± 680.7234,225.8549 ± 47.0398,72.0369 ± 4.9551,88.4677 ± 11.3902,0.9000 ± 0.0000,0.0001 ± 0.0000,12983.0730 ± 685.5492,-12774.1856 ± 551.4266
31000,1284.0026 ± 26.0019,11.3688 ± 0.5443,164.2290 ± 13.1001,136.0300 ± 15.7877,0.5063 ± 0.0104,0.0693 ± 0.0110,0.0361 ± 0.0016,-17675.0836 ± 1894.1292,-17055.4586 ± 1734.0637,-14627.1919 ± 823.4476,-14353.5662 ± 747.0354,211.1417 ± 30.9322,72.8208 ± 7.8287,82.8079 ± 10.6934,0.9000 ± 0.0000,0.0001 ± 0.0000,,
32000,1309.3808 ± 25.6578,37.8821 ± 1.4227,162.0680 ± 10.0715,132.2420 ± 10.9764,0.4985 ± 0.0131,0.0613 ± 0.0105,0.0355 ± 0.0023,-17414.9301 ± 978.4152,-16635.1970 ± 1091.5508,-14365.4727 ± 633.1179,-14024.0545 ± 659.6298,171.5122 ± 30.2764,71.8390 ± 5.0539,75.4025 ± 4.8775,0.9000 ± 0.0000,0.0001 ± 0.0000,12818.4142 ± 495.3878,-12542.4044 ± 538.0004
33000,1362.5187 ± 24.3675,11.1659 ± 0.2857,161.3780 ± 6.7560,131.4130 ± 6.6425,0.4960 ± 0.0141,0.0671 ± 0.0108,0.0352 ± 0.0016,-17051.3194 ± 724.0846,-16509.4080 ± 736.8947,-14374.3484 ± 554.4491,-14123.8794 ± 509.4210,169.4380 ± 16.0519,67.2510 ± 4.0881,77.1921 ± 15.7573,0.9000 ± 0.0000,0.0001 ± 0.0000,,
34000,1387.8102 ± 24.4825,37.2061 ± 1.2757,159.6660 ± 10.9166,128.9130 ± 11.2175,0.5038 ± 0.0210,0.0597 ± 0.0099,0.0353 ± 0.0019,-16812.8846 ± 1308.6532,-16228.4225 ± 1063.3081,-14239.8354 ± 655.0350,-13893.7995 ± 577.4456,153.6878 ± 14.3675,70.1115 ± 5.6414,77.2982 ± 7.6765,0.9000 ± 0.0000,0.0001 ± 0.0000,12765.3030 ± 536.5004,-12445.0511 ± 534.8229
35000,1439.5976 ± 24.5374,11.1419 ± 0.5522,157.2850 ± 13.4790,127.4440 ± 12.5822,0.4931 ± 0.0219,0.0602 ± 0.0088,0.0354 ± 0.0015,-16651.3376 ± 1579.9120,-16097.8845 ± 1261.7838,-14139.5772 ± 754.8295,-13839.1201 ± 564.3057,143.7300 ± 9.3606,66.8419 ± 7.6007,76.7669 ± 10.6891,0.9000 ± 0.0000,0.0001 ± 0.0000,,
36000,1465.0195 ± 24.8202,36.8819 ± 1.0807,157.7540 ± 9.4981,126.1950 ± 10.3784,0.4809 ± 0.0195,0.0565 ± 0.0180,0.0347 ± 0.0019,-16514.0556 ± 1170.2696,-16029.2807 ± 1014.9340,-14117.4850 ± 617.8485,-13874.1283 ± 580.4028,153.7444 ± 25.4418,65.6877 ± 5.6616,78.8497 ± 16.2182,0.9000 ± 0.0000,0.0001 ± 0.0000,12726.1183 ± 534.4538,-12529.5162 ± 536.6197
37000,1515.6731 ± 25.0042,11.0139 ± 0.5106,157.9640 ± 12.7251,127.6260 ± 14.7400,0.4969 ± 0.0233,0.0589 ± 0.0243,0.0359 ± 0.0038,-16739.2829 ± 1656.4549,-16067.5341 ± 1357.9461,-14212.3542 ± 818.2723,-13886.8097 ± 701.6937,124.2162 ± 15.6916,66.0504 ± 5.3263,69.7769 ± 10.2400,0.9000 ± 0.0000,0.0001 ± 0.0000,,
38000,1540.7108 ± 24.9384,36.6416 ± 1.8057,155.1370 ± 11.2946,125.2350 ± 13.7903,0.4968 ± 0.0082,0.0639 ± 0.0262,0.0370 ± 0.0040,-16502.8487 ± 1548.6996,-15971.4618 ± 1337.6806,-14247.2526 ± 978.6672,-13922.1523 ± 821.2619,122.6588 ± 10.9865,65.1955 ± 7.2828,68.1773 ± 7.4949,0.9000 ± 0.0000,0.0001 ± 0.0000,12869.2334 ± 851.5473,-12580.7095 ± 696.3625
39000,1590.6780 ± 24.8406,10.8476 ± 0.4564,153.5200 ± 10.3323,123.1370 ± 14.0381,0.4971 ± 0.0136,0.0636 ± 0.0252,0.0366 ± 0.0034,-16235.3467 ± 1544.0529,-15752.1661 ± 1310.5640,-14106.9448 ± 906.5130,-13807.4722 ± 737.0236,119.5838 ± 16.3641,63.1380 ± 2.5666,69.8341 ± 11.5613,0.9000 ± 0.0000,0.0001 ± 0.0000,,
