iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
0,22.5639 ± 1.3873,16.3441 ± 1.5513,46.7280 ± 0.2358,0.8070 ± 0.2752,0.4990 ± 0.0263,0.0375 ± 0.0176,0.0349 ± 0.0021,-20771.2583 ± 223.0567,-20197.9115 ± 165.1660,-20779.5176 ± 223.1096,-20196.9483 ± 163.3651,733.7309 ± 25.7299,733.7309 ± 25.7299,733.7309 ± 25.7299,0.0000 ± 0.0000,0.0001 ± 0.0000,20564.5121 ± 216.9715,-19958.5463 ± 147.2332
1,33.4088 ± 1.0308,3.5203 ± 0.8138,46.7660 ± 0.2053,0.8560 ± 0.2291,0.5017 ± 0.0148,0.0400 ± 0.0121,0.0346 ± 0.0017,-20774.8909 ± 236.2461,-20086.0721 ± 279.4148,-20783.1788 ± 236.4539,-20085.3013 ± 283.7867,797.7910 ± 74.3669,765.7609 ± 37.4196,740.1369 ± 23.2015,0.0000 ± 0.0000,0.0001 ± 0.0000,,
10,43.1190 ± 2.2066,6.4885 ± 2.2432,49.8310 ± 2.2948,4.2570 ± 2.5265,0.4902 ± 0.0381,0.0365 ± 0.0125,0.0350 ± 0.0047,-20781.2781 ± 198.1002,-19724.2578 ± 191.6424,-20718.4375 ± 239.3738,-19409.1728 ± 645.3358,761.7584 ± 21.6458,752.6110 ± 21.1088,745.8374 ± 15.7785,0.0005 ± 0.0000,0.0001 ± 0.0000,,
50,55.3983 ± 0.7512,9.2722 ± 0.7373,82.5460 ± 6.8595,39.9780 ± 7.4415,0.4119 ± 0.0269,0.0266 ± 0.0020,0.0287 ± 0.0023,-25419.0594 ± 856.2566,-19258.5617 ± 936.1658,-20223.9571 ± 233.6779,-17615.3914 ± 611.8367,753.8219 ± 24.1420,742.8623 ± 16.9330,742.0332 ± 12.1661,0.0023 ± 0.0000,0.0001 ± 0.0000,,
100,64.2555 ± 1.8459,8.1831 ± 1.1195,89.0200 ± 10.0855,47.9370 ± 11.2723,0.4462 ± 0.0318,0.0347 ± 0.0100,0.0376 ± 0.0092,-28977.8595 ± 2002.5016,-20178.8839 ± 719.0514,-19627.6909 ± 436.3808,-16511.2535 ± 587.0112,716.7518 ± 41.3162,735.0531 ± 14.6137,722.4039 ± 14.3857,0.0045 ± 0.0000,0.0001 ± 0.0000,,
500,84.0678 ± 2.6575,13.9614 ± 0.8905,144.5750 ± 7.5620,109.8230 ± 8.6115,0.4560 ± 0.0280,0.0355 ± 0.0143,0.0370 ± 0.0140,-40109.2919 ± 2724.1500,-20811.5912 ± 230.8542,-17343.6637 ± 507.9800,-13898.7946 ± 505.2208,563.5834 ± 32.0035,633.3004 ± 13.1835,603.9943 ± 17.1155,0.0225 ± 0.0000,0.0001 ± 0.0000,,
1000,115.0565 ± 6.4610,15.4505 ± 1.1709,164.9310 ± 8.9970,132.8760 ± 10.5063,0.4580 ± 0.0206,0.0367 ± 0.0084,0.0358 ± 0.0059,-43189.1605 ± 3241.5272,-26033.0540 ± 7477.3632,-16557.2937 ± 954.0214,-14357.8791 ± 840.8467,668.2162 ± 44.6393,485.7101 ± 15.7222,475.1862 ± 21.8514,0.0450 ± 0.0000,0.0001 ± 0.0000,,
2000,151.5990 ± 2.8738,46.5502 ± 1.0914,180.6830 ± 3.5616,151.7410 ± 3.9133,0.4736 ± 0.0277,0.0426 ± 0.0110,0.0414 ± 0.0069,-42194.2332 ± 7093.6442,-34037.1062 ± 7555.5547,-16653.4541 ± 1515.1498,-15022.1414 ± 1398.2208,653.6190 ± 28.9124,293.8233 ± 15.2007,311.4957 ± 10.4255,0.0900 ± 0.0000,0.0001 ± 0.0000,13876.4319 ± 1826.4126,-12663.7233 ± 1346.6606
3000,211.3697 ± 2.7719,16.3008 ± 0.5786,187.4540 ± 8.7582,156.9790 ± 9.3893,0.4629 ± 0.0330,0.0371 ± 0.0085,0.0329 ± 0.0034,-42471.9409 ± 4793.1521,-34102.4387 ± 7724.3351,-16668.4676 ± 869.8317,-15173.2817 ± 618.3186,651.1479 ± 72.0130,212.1341 ± 9.2494,240.1937 ± 6.9542,0.1350 ± 0.0000,0.0001 ± 0.0000,,
4000,242.7253 ± 3.6685,46.4179 ± 1.4122,196.4780 ± 6.6098,167.8880 ± 5.5148,0.4783 ± 0.0344,0.0426 ± 0.0145,0.0380 ± 0.0085,-41887.4632 ± 2735.3738,-33418.4301 ± 9873.2104,-16592.6906 ± 495.1341,-15478.8947 ± 138.1535,714.7728 ± 55.5881,172.1443 ± 5.4725,213.5311 ± 3.0184,0.1800 ± 0.0000,0.0001 ± 0.0000,13548.2818 ± 316.7818,-12732.4566 ± 258.9275
