episode,mean_final_edges,mean_shd,best_shd,mean_bic,best_bic,mean_bdeu,best_bdeu
10,27.5,17.5,10.0,-13070.145455268907,-12872.82421873545,-13096.57781394379,-12916.183273296505
20,27.45,17.95,10.0,-13095.416518079574,-12872.82421873545,-13117.747289875802,-12916.183273296505
30,27.7,18.7,10.0,-13117.679550170655,-12872.82421873545,-13135.734787486637,-12916.183273296505
40,27.425,18.075,10.0,-13098.255160645478,-12872.82421873545,-13119.42807167149,-12905.977919074514
50,27.36,17.64,4.0,-13092.557704556933,-12786.892841637984,-13113.94357006537,-12820.279179980267
60,27.333333333333332,17.866666666666667,4.0,-13094.471566321778,-12786.892841637984,-13116.014472398247,-12820.279179980267
70,27.385714285714286,17.9,4.0,-13092.899537468209,-12786.892841637984,-13114.800591422623,-12820.279179980267
80,27.4375,17.7875,4.0,-13094.667202440683,-12786.892841637984,-13115.764983071052,-12820.279179980267
90,27.433333333333334,17.81111111111111,4.0,-13090.123950183312,-12786.892841637984,-13112.211701247223,-12820.279179980267
100,27.48,17.94,4.0,-13091.392424533944,-12786.892841637984,-13113.658090457542,-12820.279179980267
