shd,num_edges,bic,bdeu,posterior_predictive_loglik,neg_posterior_predictive_loglik,rank
14.0,17.0,-72480.0180007091,-72294.7789758304,-71742.95733550412,71742.95733550412,1
16.0,17.0,-72480.0180007091,-72294.77897583038,-71742.9573355041,71742.9573355041,2
14.0,17.0,-72480.0180007091,-72294.77897583038,-71742.95733550412,71742.95733550412,3
16.0,17.0,-72480.0180007091,-72294.77897583037,-71742.95733550412,71742.95733550412,4
18.0,17.0,-72480.0180007091,-72294.77897583038,-71742.95733550412,71742.95733550412,5
11.0,18.0,-72632.57825980698,-72400.61186299413,-71745.64102528841,71745.64102528841,6
11.0,18.0,-72632.57825980698,-72400.61186299413,-71745.6410252884,71745.6410252884,7
13.0,18.0,-72632.57825980698,-72400.61186299413,-71745.6410252884,71745.6410252884,8
13.0,18.0,-72641.31080517634,-72372.93716063826,-71744.57322454888,71744.57322454888,9
