shd,num_edges,bic,bdeu,posterior_predictive_loglik,neg_posterior_predictive_loglik,rank
95.0,49.0,-12058.724944571246,-11507.122551916798,-10880.99107595809,10880.99107595809,1
94.0,48.0,-12149.56596361414,-11549.483937125593,-10907.024111041146,10907.024111041146,2
94.0,48.0,-12116.22683453611,-11575.75427265219,-10922.278170647483,10922.278170647483,3
91.0,49.0,-12239.546000917568,-11497.092307735635,-10871.65076813432,10871.65076813432,4
94.0,48.0,-12181.35556540284,-11594.325272153146,-10923.423678545101,10923.423678545101,5
96.0,50.0,-12275.205775388771,-11665.7623591599,-10975.112049631856,10975.112049631856,6
96.0,50.0,-12235.200038538023,-11695.151891775913,-11004.04893304259,11004.04893304259,7
95.0,49.0,-12288.39575773309,-11713.936606969508,-11038.722410809549,11038.722410809549,8
92.0,50.0,-12331.475945566453,-11674.827927196158,-11004.3591034966,11004.3591034966,9
95.0,49.0,-12264.160867671637,-11747.212554129674,-11055.465266182977,11055.465266182977,10
97.0,51.0,-12306.235872676996,-11752.324003271116,-11073.685691023193,11073.685691023193,11
93.0,51.0,-12438.048336435344,-11760.819379156388,-11054.514760345728,11054.514760345728,12
97.0,51.0,-12297.007209325919,-11814.030343827359,-11111.413873533626,11111.413873533626,13
94.0,52.0,-12458.89645480574,-11775.466739234475,-11069.530651480449,11069.530651480449,14
99.0,53.0,-12385.097204509244,-11852.273606902003,-11114.26264826863,11114.26264826863,15
99.0,53.0,-12423.021514404641,-11787.903957828392,-11070.483816730175,11070.483816730175,16
101.0,55.0,-12485.178627722187,-11801.193613473188,-11031.798549788851,11031.798549788851,17
97.0,53.0,-12565.470564149458,-11827.367673485915,-11060.402452352544,11060.402452352544,18
96.0,54.0,-12557.88020667705,-11858.99305567765,-11116.474269814926,11116.474269814926,19
