episode,mean_final_edges,mean_shd,best_shd,mean_bic,best_bic,mean_bdeu,best_bdeu
10,9.3,10.1,7.0,-2300.1294443147644,-2295.35634619705,-2283.5874380286486,-2279.760211187673
20,8.95,8.95,3.0,-2297.7401358013826,-2286.044067497981,-2281.250521226791,-2275.5271773739723
30,9.0,9.0,3.0,-2298.0278668271435,-2286.044067497981,-2281.253802817121,-2275.5271773739723
40,8.975,9.275,3.0,-2297.7401191368685,-2286.044067497981,-2281.3068673324997,-2275.5271773739723
50,8.98,9.26,3.0,-2297.720752133819,-2286.044067497981,-2281.205205005319,-2275.5271773739723
60,9.083333333333334,9.55,3.0,-2298.449469731427,-2286.044067497981,-2281.8754636154295,-2275.5271773739723
70,9.114285714285714,9.542857142857143,3.0,-2298.9370675292084,-2286.044067497981,-2282.3273786895998,-2275.5271773739723
80,9.1625,9.6625,3.0,-2299.291092251943,-2286.044067497981,-2282.397360386709,-2275.5271773739723
90,9.177777777777777,9.755555555555556,3.0,-2299.44184647839,-2286.044067497981,-2282.538902279513,-2275.5271773739723
100,9.2,9.84,3.0,-2299.6015238574937,-2286.044067497981,-2282.627358813112,-2275.5271773739723
