shd,num_edges,bic,bdeu,posterior_predictive_loglik,neg_posterior_predictive_loglik,rank
10.0,17.0,-72480.0180007091,-72294.7789758304,-71742.95733550412,71742.95733550412,1
10.0,17.0,-72480.0180007091,-72294.77897583041,-71742.9573355041,71742.9573355041,2
12.0,17.0,-72480.0180007091,-72294.7789758304,-71742.95733550412,71742.95733550412,3
14.0,17.0,-72480.0180007091,-72294.7789758304,-71742.95733550414,71742.95733550414,4
8.0,17.0,-72480.0180007091,-72294.77897583041,-71742.95733550412,71742.95733550412,5
