shd,num_edges,bic,bdeu,posterior_predictive_loglik,neg_posterior_predictive_loglik,rank
94.0,50.0,-12141.854972527612,-11511.294325240764,-10878.096902486172,10878.096902486172,1
95.0,53.0,-12278.127187385466,-11593.70943057829,-10890.470844475196,10890.470844475196,2
94.0,52.0,-12230.787702813963,-11592.073740959195,-10919.252128216533,10919.252128216533,3
97.0,53.0,-12299.835395353763,-11632.798988056436,-10915.295986922538,10915.295986922538,4
99.0,55.0,-12345.05054461102,-11636.614293557446,-10900.747740863582,10900.747740863582,5
96.0,54.0,-12298.6404499313,-11628.99942833165,-10878.806971525933,10878.806971525933,6
98.0,54.0,-12378.527399398006,-11654.004288807977,-10932.194709860683,10932.194709860683,7
95.0,53.0,-12387.63528590949,-11593.237070667816,-10909.368172932154,10909.368172932154,8
95.0,53.0,-12310.363302676127,-11661.907315136954,-10924.033225029805,10924.033225029805,9
93.0,51.0,-12320.017325748637,-11647.604597327054,-10948.989569390633,10948.989569390633,10
95.0,55.0,-12443.820665792122,-11623.486214751672,-10903.89183844924,10903.89183844924,11
101.0,57.0,-12452.144689556795,-11701.647005925473,-10974.177028076332,10974.177028076332,12
97.0,55.0,-12438.006519081253,-11751.076230295454,-10999.00552945448,10999.00552945448,13
101.0,57.0,-12532.655855759578,-11761.324482242342,-10983.757045977682,10983.757045977682,14
96.0,54.0,-12417.814599570598,-11744.872397904313,-11006.284864949625,11006.284864949625,15
97.0,57.0,-12575.889182333447,-11694.249994601916,-10941.026427921584,10941.026427921584,16
97.0,57.0,-12564.891582320339,-11724.289014319864,-10976.837771076049,10976.837771076049,17
100.0,58.0,-12596.591522545801,-11797.721425463615,-10961.554619885559,10961.554619885559,18
99.0,57.0,-12613.426007587304,-11864.432641367774,-11094.90330078956,11094.90330078956,19
102.0,60.0,-12747.30678790027,-11891.971218160314,-11017.512264261733,11017.512264261733,20
