episode,mean_final_edges,mean_shd,best_shd,mean_bic,best_bic,mean_bdeu,best_bdeu
10,19.3,18.3,12.0,-73191.63225462407,-72641.31080517634,-72653.66288095889,-72372.93716063825
20,19.35,19.25,12.0,-73187.6109231011,-72633.40613677232,-72655.79652237624,-72372.93716063825
30,19.2,19.066666666666666,10.0,-73146.94964396629,-72480.0180007091,-72622.43449367909,-72294.77897583038
40,19.075,18.225,0.0,-73097.23736755006,-72480.0180007091,-72597.14450023102,-72294.77897583038
50,19.02,18.14,0.0,-73065.67118878565,-72480.0180007091,-72579.53080054173,-72294.77897583038
60,19.05,18.083333333333332,0.0,-73072.0062338423,-72480.0180007091,-72581.34096128745,-72294.77897583038
70,19.02857142857143,18.057142857142857,0.0,-73065.0129530579,-72480.0180007091,-72576.28265082021,-72294.77897583038
80,19.0875,18.2125,0.0,-73081.42765988808,-72480.0180007091,-72588.07540762266,-72294.77897583038
90,19.1,17.72222222222222,0.0,-73079.27965961379,-72480.0180007091,-72591.05966659544,-72294.77897583038
100,19.13,17.75,0.0,-73084.67729741134,-72480.0180007091,-72591.34413496712,-72294.77897583038
