shd,num_edges,bic,bdeu,posterior_predictive_loglik,neg_posterior_predictive_loglik,rank
3.0,7.0,-2314.823307264869,-2305.59075057018,-2263.3538245062887,2263.3538245062887,1
3.0,7.0,-2314.823307264869,-2305.5907505701807,-2263.353824506288,2263.353824506288,2
1.0,7.0,-2314.8233072648695,-2305.59075057018,-2263.3538245062887,2263.3538245062887,3
6.0,8.0,-2317.995413346987,-2307.0119399456325,-2265.3068716257467,2265.3068716257467,4
4.0,8.0,-2317.995413346987,-2307.0119399456316,-2265.306871625747,2265.306871625747,5
6.0,8.0,-2319.2917060246596,-2308.6550015974804,-2266.2967421889325,2266.2967421889325,6
4.0,8.0,-2319.2917060246596,-2308.6550015974794,-2266.296742188933,2266.296742188933,7
6.0,8.0,-2322.952989593608,-2311.8964210353597,-2271.349688123011,2271.349688123011,8
6.0,8.0,-2321.3132496655153,-2311.2875638213227,-2263.153139750859,2263.153139750859,9
6.0,8.0,-2321.72809764934,-2311.6315580680757,-2263.5505520431348,2263.5505520431348,10
