shd,num_edges,bic,bdeu,posterior_predictive_loglik,neg_posterior_predictive_loglik,rank
6.0,17.0,-72480.0180007091,-72294.77897583037,-71742.95733550414,71742.95733550414,1
4.0,17.0,-72480.0180007091,-72294.77897583038,-71742.95733550414,71742.95733550414,2
0.0,17.0,-72480.0180007091,-72294.77897583038,-71742.95733550415,71742.95733550415,3
8.0,17.0,-72480.01800070911,-72294.77897583038,-71742.95733550414,71742.95733550414,4
10.0,17.0,-72480.01800070911,-72294.77897583037,-71742.95733550415,71742.95733550415,5
12.0,17.0,-72480.01800070911,-72294.77897583037,-71742.95733550414,71742.95733550414,6
10.0,17.0,-72480.01800070911,-72294.77897583037,-71742.95733550414,71742.95733550414,7
