iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
8000,135.2404 ± 2.3904,7.4965 ± 0.2734,22.0520 ± 1.9196,26.1510 ± 2.0723,0.6527 ± 0.0827,0.3107 ± 0.1293,0.2311 ± 0.1096,-2849.5680 ± 174.6791,-2679.0574 ± 166.2326,-2372.9634 ± 25.9234,-2360.5569 ± 31.6435,86.1730 ± 20.0587,21.2919 ± 1.6832,26.5373 ± 3.7164,0.3600 ± 0.0000,0.0001 ± 0.0000,2246.4152 ± 28.0379,-2242.4784 ± 31.1200
9000,150.2625 ± 1.9115,2.3844 ± 0.4368,22.1380 ± 1.4481,26.1920 ± 0.9364,0.6444 ± 0.0830,0.3156 ± 0.0836,0.1953 ± 0.0592,-2805.3274 ± 110.0624,-2734.8906 ± 159.5959,-2375.7703 ± 23.4393,-2363.8985 ± 22.8148,54.6330 ± 8.1999,18.7748 ± 0.7225,21.2749 ± 1.3973,0.4050 ± 0.0000,0.0001 ± 0.0000,,
10000,160.3534 ± 1.9054,7.3678 ± 0.1205,22.5000 ± 1.3096,25.3210 ± 0.7814,0.6009 ± 0.0585,0.2819 ± 0.0721,0.1820 ± 0.0477,-2703.4299 ± 49.8729,-2635.5618 ± 89.6619,-2372.1708 ± 21.3125,-2364.0387 ± 21.6815,41.4490 ± 3.1791,18.7026 ± 1.1733,21.1547 ± 1.4689,0.4500 ± 0.0000,0.0001 ± 0.0000,2247.7214 ± 25.6699,-2242.5309 ± 22.5161
11000,175.0685 ± 1.9996,2.1684 ± 0.0295,22.8900 ± 0.6701,25.6230 ± 0.8905,0.6033 ± 0.0449,0.3091 ± 0.0777,0.1712 ± 0.0162,-2749.2245 ± 83.0634,-2641.2802 ± 69.0679,-2393.8443 ± 44.0180,-2361.9570 ± 22.0073,37.2766 ± 1.6970,17.6177 ± 0.8710,18.9611 ± 0.7813,0.4950 ± 0.0000,0.0001 ± 0.0000,,
12000,185.0697 ± 1.9565,7.3432 ± 0.2475,22.1750 ± 1.9529,24.8600 ± 1.8213,0.5873 ± 0.0738,0.2922 ± 0.0671,0.1792 ± 0.0421,-2683.4381 ± 97.5310,-2598.2959 ± 89.0873,-2369.7134 ± 17.1879,-2357.3755 ± 24.1752,35.9362 ± 5.0655,17.7488 ± 0.8708,19.5932 ± 1.1352,0.5400 ± 0.0000,0.0001 ± 0.0000,2248.2405 ± 20.2625,-2241.2941 ± 23.3992
13000,199.7186 ± 2.0321,2.1215 ± 0.0809,21.3310 ± 2.0384,24.3240 ± 2.2488,0.6473 ± 0.0435,0.3567 ± 0.0830,0.2101 ± 0.0359,-2686.9794 ± 143.2615,-2549.7022 ± 93.4611,-2380.5558 ± 34.2238,-2350.6733 ± 26.7462,34.7119 ± 3.3077,17.7310 ± 1.5157,18.7503 ± 1.3057,0.5850 ± 0.0000,0.0001 ± 0.0000,,
14000,209.7009 ± 2.1304,7.1068 ± 0.3050,20.3490 ± 2.5952,23.1330 ± 2.3928,0.6237 ± 0.0801,0.3260 ± 0.0716,0.1950 ± 0.0434,-2586.0461 ± 142.7461,-2518.2170 ± 89.4202,-2353.0440 ± 33.6328,-2342.7813 ± 30.0841,33.4645 ± 3.3004,17.9913 ± 1.6280,19.5851 ± 2.0923,0.6300 ± 0.0000,0.0001 ± 0.0000,2243.8041 ± 25.2961,-2239.1474 ± 21.7628
15000,224.1774 ± 2.3522,2.0350 ± 0.0695,18.4320 ± 2.3266,21.2950 ± 2.3194,0.6605 ± 0.0609,0.3416 ± 0.0649,0.2155 ± 0.0355,-2502.2385 ± 100.2726,-2444.8096 ± 71.9650,-2341.7995 ± 32.2918,-2328.2857 ± 30.4073,36.4305 ± 3.2883,17.1502 ± 1.4468,18.4950 ± 1.7109,0.6750 ± 0.0000,0.0001 ± 0.0000,,
16000,234.0623 ± 2.4085,6.7863 ± 0.3362,17.9410 ± 1.7166,20.6620 ± 2.2615,0.6489 ± 0.0485,0.3335 ± 0.0990,0.2317 ± 0.0278,-2487.3455 ± 99.1383,-2419.8116 ± 46.1418,-2344.9065 ± 26.8457,-2323.6143 ± 24.6842,40.0148 ± 3.3845,16.2289 ± 1.5941,18.0039 ± 1.0148,0.7200 ± 0.0000,0.0001 ± 0.0000,2249.9186 ± 22.2705,-2233.9039 ± 23.4346
17000,247.8743 ± 2.6558,1.7663 ± 0.4619,15.1190 ± 4.2046,16.4500 ± 7.9015,0.6708 ± 0.0247,0.3342 ± 0.0939,0.2589 ± 0.0495,-2557.4521 ± 227.7913,-2375.2724 ± 35.0161,-2438.0976 ± 231.8978,-2311.2704 ± 25.9672,41.3451 ± 5.0060,14.7919 ± 2.3228,16.7371 ± 2.1727,0.7650 ± 0.0000,0.0001 ± 0.0000,,
