iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
0,17.5295 ± 0.9569,8.7553 ± 1.1481,8.6520 ± 0.2677,1.1160 ± 0.4685,0.5493 ± 0.1353,0.1544 ± 0.0795,0.1623 ± 0.0521,-2907.8340 ± 43.4020,-2541.1393 ± 113.0778,-2908.2267 ± 43.5114,-2533.1817 ± 115.9387,326.1596 ± 19.6393,326.1596 ± 19.6393,326.1596 ± 19.6393,0.0000 ± 0.0000,0.0001 ± 0.0000,2881.9796 ± 41.8826,-2496.2963 ± 117.7234
1,21.5055 ± 2.0037,1.1162 ± 0.6469,8.7190 ± 0.2751,1.3540 ± 0.5450,0.6868 ± 0.1410,0.2406 ± 0.0932,0.2539 ± 0.0800,-2897.4692 ± 36.2496,-2435.2382 ± 80.2419,-2897.1828 ± 36.6356,-2419.0810 ± 96.6462,317.3220 ± 25.5226,321.7408 ± 17.5974,325.2758 ± 18.3596,0.0000 ± 0.0000,0.0001 ± 0.0000,,
10,30.6789 ± 0.9898,3.8627 ± 0.9847,12.4820 ± 1.8976,8.5240 ± 3.2435,0.6598 ± 0.0510,0.2916 ± 0.0848,0.2990 ± 0.0766,-2831.5649 ± 33.0744,-2347.6333 ± 20.5045,-2713.9809 ± 46.6695,-2302.4539 ± 20.1910,306.0898 ± 17.4842,318.1551 ± 10.5886,319.3215 ± 12.4249,0.0005 ± 0.0000,0.0001 ± 0.0000,,
50,33.8744 ± 0.3174,2.5664 ± 0.6702,22.1030 ± 0.6470,25.4850 ± 0.6131,0.6324 ± 0.0999,0.2445 ± 0.0917,0.2683 ± 0.0895,-3051.2649 ± 13.2334,-2415.2686 ± 64.7637,-2430.7007 ± 30.1899,-2324.4416 ± 11.3460,263.1435 ± 13.5536,289.5315 ± 11.7678,269.5769 ± 10.5774,0.0023 ± 0.0000,0.0001 ± 0.0000,,
100,37.4122 ± 2.1257,2.2345 ± 0.0377,22.8460 ± 0.8192,26.6160 ± 0.7244,0.6266 ± 0.1215,0.2302 ± 0.0929,0.2524 ± 0.0913,-3073.2125 ± 15.1618,-2843.0655 ± 250.6398,-2414.3377 ± 37.5628,-2368.9636 ± 42.6298,227.5727 ± 23.0771,265.7713 ± 9.8577,229.6939 ± 6.9247,0.0045 ± 0.0000,0.0001 ± 0.0000,,
500,52.1718 ± 0.4000,2.2243 ± 0.0272,23.9080 ± 0.9106,28.0000 ± 0.0000,0.5855 ± 0.0958,0.2088 ± 0.1137,0.2326 ± 0.1138,-3080.7294 ± 18.1728,-3080.7294 ± 18.1728,-2385.8724 ± 24.2488,-2385.8724 ± 24.2488,135.3029 ± 16.8551,147.1932 ± 6.1717,135.1678 ± 11.2736,0.0225 ± 0.0000,0.0001 ± 0.0000,,
1000,58.4531 ± 0.3051,2.2120 ± 0.0144,23.8590 ± 0.9183,28.0000 ± 0.0000,0.5542 ± 0.0950,0.1851 ± 0.0763,0.1584 ± 0.0358,-3080.7294 ± 18.1728,-3080.7294 ± 18.1728,-2385.8724 ± 24.2488,-2385.8724 ± 24.2488,214.5631 ± 11.6214,106.6246 ± 2.5548,111.2203 ± 1.5532,0.0450 ± 0.0000,0.0001 ± 0.0000,,
2000,68.3823 ± 0.2592,7.6732 ± 0.0395,23.3280 ± 1.1742,27.9990 ± 0.0022,0.6100 ± 0.0912,0.2641 ± 0.0754,0.1910 ± 0.0263,-3080.5132 ± 18.1708,-3037.4827 ± 98.0842,-2385.8608 ± 24.2443,-2383.5376 ± 23.9112,283.3808 ± 18.5160,81.1516 ± 1.1011,98.5921 ± 2.2255,0.0900 ± 0.0000,0.0001 ± 0.0000,2250.1062 ± 28.3397,-2249.1200 ± 27.9054
3000,83.6559 ± 0.2761,2.2084 ± 0.0370,22.5020 ± 1.3124,26.8950 ± 0.9941,0.6350 ± 0.1480,0.2630 ± 0.1523,0.2407 ± 0.1384,-2917.7271 ± 148.4641,-2697.3318 ± 234.5142,-2372.9788 ± 33.4617,-2349.5372 ± 41.1160,340.9407 ± 16.8165,62.2469 ± 1.4315,83.1914 ± 2.4492,0.1350 ± 0.0000,0.0001 ± 0.0000,,
4000,93.4729 ± 0.3308,7.4716 ± 0.2849,22.0340 ± 1.3384,26.2030 ± 2.0586,0.6170 ± 0.1001,0.2151 ± 0.0811,0.2128 ± 0.0621,-2862.3210 ± 228.9087,-2687.3145 ± 277.4117,-2367.1168 ± 37.8176,-2349.0983 ± 42.0817,370.2386 ± 11.7006,39.6814 ± 1.2271,69.1442 ± 2.2246,0.1800 ± 0.0000,0.0001 ± 0.0000,2246.7460 ± 29.3409,-2240.4542 ± 30.4164
