iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
10000,170.4778 ± 2.1474,7.3226 ± 0.1885,21.6280 ± 1.9403,25.0690 ± 1.2054,0.6071 ± 0.0758,0.3086 ± 0.1308,0.1931 ± 0.0551,-2710.2213 ± 96.7691,-2625.4957 ± 80.2023,-2378.5316 ± 28.9625,-2365.8844 ± 26.0551,37.5282 ± 6.6089,18.9531 ± 0.2024,19.9204 ± 1.0109,0.4500 ± 0.0000,0.0001 ± 0.0000,2255.3341 ± 22.3996,-2250.2246 ± 20.4203
11000,185.5087 ± 2.4101,2.1144 ± 0.0964,20.5040 ± 2.0917,24.0420 ± 1.9176,0.6129 ± 0.0838,0.2878 ± 0.1392,0.1913 ± 0.0498,-2619.7012 ± 120.1635,-2581.1920 ± 87.9006,-2366.7062 ± 30.7607,-2354.0526 ± 20.9218,33.2286 ± 4.0537,18.3508 ± 0.5139,18.9962 ± 0.3392,0.4950 ± 0.0000,0.0001 ± 0.0000,,
12000,195.3987 ± 2.5996,7.2193 ± 0.2417,21.1830 ± 1.7389,24.2060 ± 1.8630,0.6272 ± 0.0827,0.3453 ± 0.0778,0.2193 ± 0.0444,-2650.1900 ± 119.5640,-2563.7931 ± 88.1841,-2364.3138 ± 27.2870,-2354.2433 ± 22.3852,32.9972 ± 3.6575,18.0706 ± 0.9527,18.7751 ± 1.2014,0.5400 ± 0.0000,0.0001 ± 0.0000,2243.8701 ± 28.0165,-2239.7061 ± 26.3235
13000,210.3832 ± 2.8535,2.0921 ± 0.0495,20.8130 ± 1.8524,23.8740 ± 1.3179,0.6094 ± 0.0850,0.3173 ± 0.0882,0.1837 ± 0.0400,-2606.8048 ± 91.9863,-2558.9704 ± 88.1271,-2359.5049 ± 22.1804,-2349.8967 ± 21.6786,31.2142 ± 4.4518,17.8505 ± 0.6538,18.9097 ± 1.5504,0.5850 ± 0.0000,0.0001 ± 0.0000,,
14000,220.1708 ± 2.9951,7.0799 ± 0.2601,20.6600 ± 2.3481,22.6800 ± 1.6421,0.5971 ± 0.0822,0.3017 ± 0.1073,0.1791 ± 0.0562,-2538.9022 ± 81.2673,-2479.0129 ± 56.7661,-2351.2364 ± 24.0631,-2338.1287 ± 26.5627,34.7070 ± 3.7173,17.6859 ± 1.7162,19.7142 ± 2.0164,0.6300 ± 0.0000,0.0001 ± 0.0000,2243.9532 ± 25.0624,-2236.7530 ± 21.5418
15000,235.2427 ± 3.2653,1.9795 ± 0.0718,19.6400 ± 1.3233,20.5580 ± 1.7676,0.5904 ± 0.0874,0.3069 ± 0.1082,0.1863 ± 0.0643,-2470.0472 ± 52.9400,-2442.6228 ± 50.2662,-2339.3731 ± 24.6183,-2327.9709 ± 24.1450,37.7452 ± 4.5841,17.1222 ± 1.8349,18.3057 ± 2.4636,0.6750 ± 0.0000,0.0001 ± 0.0000,,
16000,245.0067 ± 3.4196,6.8337 ± 0.3456,18.9630 ± 2.6247,19.9710 ± 1.8434,0.5699 ± 0.1102,0.3132 ± 0.1477,0.2328 ± 0.1590,-2463.2765 ± 50.7429,-2408.8580 ± 30.1445,-2335.6188 ± 19.6175,-2316.7333 ± 20.3877,38.0933 ± 4.9565,15.9644 ± 1.2308,17.7830 ± 1.6767,0.7200 ± 0.0000,0.0001 ± 0.0000,2242.9328 ± 27.4122,-2235.9718 ± 25.6648
17000,259.6410 ± 3.9556,1.9458 ± 0.0914,18.3290 ± 3.4008,19.1780 ± 2.4055,0.5900 ± 0.0960,0.3054 ± 0.1277,0.2050 ± 0.1166,-2445.8982 ± 63.6284,-2387.5065 ± 21.9925,-2327.8571 ± 22.7803,-2313.1925 ± 21.0902,42.6923 ± 6.2196,14.7151 ± 1.2116,18.1548 ± 2.3741,0.7650 ± 0.0000,0.0001 ± 0.0000,,
18000,269.0997 ± 4.2161,5.8137 ± 1.8506,16.6790 ± 5.5306,15.4150 ± 8.3058,0.6036 ± 0.0762,0.2471 ± 0.0932,0.1906 ± 0.0531,-2525.1069 ± 192.3757,-2386.4155 ± 36.6005,-2442.5581 ± 234.1482,-2313.9296 ± 28.5652,41.5367 ± 5.4014,13.6013 ± 1.0989,15.6925 ± 1.9613,0.8100 ± 0.0000,0.0001 ± 0.0000,2367.3313 ± 263.2971,-2236.8904 ± 24.7360
19000,282.5784 ± 5.1100,1.6455 ± 0.4714,15.8240 ± 4.5368,14.4280 ± 7.7508,0.5998 ± 0.1037,0.2360 ± 0.0954,0.1898 ± 0.0511,-2534.1304 ± 189.7495,-2383.5314 ± 37.7833,-2461.0487 ± 226.4922,-2313.8694 ± 27.5597,41.8569 ± 4.6054,12.4118 ± 1.0091,14.3599 ± 1.1537,0.8550 ± 0.0000,0.0001 ± 0.0000,,
