iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
13000,194.7939 ± 3.4523,2.1103 ± 0.0306,20.4760 ± 1.2260,24.4370 ± 0.7702,0.6353 ± 0.1145,0.3644 ± 0.1250,0.2112 ± 0.0687,-2623.3933 ± 56.0590,-2545.5221 ± 71.1025,-2357.4866 ± 20.1363,-2344.4175 ± 20.7423,15.2892 ± 0.7037,17.7255 ± 0.4372,17.1275 ± 1.4606,0.5850 ± 0.0000,0.0001 ± 0.0000,,
14000,204.2230 ± 3.4755,7.1647 ± 0.2036,19.7820 ± 1.9969,23.6200 ± 1.9116,0.6502 ± 0.1099,0.3347 ± 0.0999,0.2021 ± 0.0690,-2595.4115 ± 129.6567,-2513.0596 ± 93.8115,-2353.7999 ± 20.3958,-2337.8567 ± 25.6469,16.8990 ± 1.8235,17.4806 ± 0.9440,18.2458 ± 2.2496,0.6300 ± 0.0000,0.0001 ± 0.0000,2242.3681 ± 26.9122,-2239.7339 ± 24.7363
15000,218.8814 ± 3.6117,2.0148 ± 0.0444,17.5380 ± 1.6971,21.6260 ± 1.1392,0.6556 ± 0.0915,0.3514 ± 0.0932,0.2091 ± 0.0713,-2488.0261 ± 48.9062,-2436.4523 ± 62.8092,-2336.8431 ± 26.9551,-2324.4966 ± 29.1395,17.5482 ± 2.2922,17.1255 ± 0.5803,17.9254 ± 1.9208,0.6750 ± 0.0000,0.0001 ± 0.0000,,
16000,228.2430 ± 3.5855,6.8047 ± 0.4427,18.0280 ± 2.6763,20.9320 ± 3.2951,0.6315 ± 0.0905,0.3374 ± 0.0922,0.2301 ± 0.0856,-2529.2707 ± 148.6805,-2413.9712 ± 60.1325,-2340.6345 ± 26.7038,-2320.1634 ± 25.5196,16.6933 ± 2.4136,16.3683 ± 1.3740,15.3802 ± 1.0299,0.7200 ± 0.0000,0.0001 ± 0.0000,2243.4869 ± 24.4295,-2236.5370 ± 23.4840
17000,242.3621 ± 3.4223,1.9337 ± 0.0812,15.5500 ± 2.3632,18.3550 ± 2.0792,0.6781 ± 0.0859,0.3680 ± 0.0900,0.2530 ± 0.0776,-2429.1096 ± 63.6092,-2375.0802 ± 30.2985,-2321.3554 ± 17.5876,-2304.6381 ± 21.1913,14.0256 ± 0.8972,14.5375 ± 0.8164,14.5311 ± 1.5336,0.7650 ± 0.0000,0.0001 ± 0.0000,,
18000,251.5846 ± 3.4746,6.3947 ± 0.2394,15.1340 ± 2.2134,17.8430 ± 1.5913,0.6902 ± 0.0764,0.3482 ± 0.0790,0.2619 ± 0.1008,-2401.4753 ± 31.5349,-2366.6471 ± 29.7699,-2316.7193 ± 20.9317,-2302.7925 ± 20.8247,15.4002 ± 2.0062,14.0672 ± 0.9114,14.0890 ± 1.4222,0.8100 ± 0.0000,0.0001 ± 0.0000,2239.9029 ± 21.7968,-2233.9703 ± 23.6726
19000,265.3487 ± 3.7366,1.8789 ± 0.0594,14.1640 ± 1.4218,17.4400 ± 1.2670,0.7292 ± 0.0720,0.3777 ± 0.0699,0.2911 ± 0.0959,-2394.5045 ± 14.5598,-2364.8705 ± 12.6665,-2318.5658 ± 18.4789,-2303.5858 ± 14.8314,11.5537 ± 0.9955,12.4202 ± 0.5577,11.6354 ± 1.0500,0.8550 ± 0.0000,0.0001 ± 0.0000,,
20000,274.7941 ± 3.9570,6.3021 ± 1.2285,16.2310 ± 3.8123,18.1090 ± 5.9012,0.6556 ± 0.0561,0.3091 ± 0.0997,0.2158 ± 0.0552,-2509.7746 ± 130.2029,-2403.9920 ± 59.0315,-2395.3504 ± 148.5632,-2314.5548 ± 30.0941,10.7975 ± 1.1276,11.6794 ± 0.6363,11.9627 ± 1.8478,0.9000 ± 0.0000,0.0001 ± 0.0000,2313.4274 ± 165.7428,-2234.4510 ± 23.5282
21000,288.2107 ± 4.9041,1.5079 ± 0.5148,14.2110 ± 4.8518,12.2100 ± 8.6418,0.6701 ± 0.0500,0.2344 ± 0.0527,0.2227 ± 0.0446,-2658.5646 ± 182.0707,-2382.5367 ± 58.7119,-2582.6215 ± 233.0391,-2308.2966 ± 30.5920,11.6952 ± 4.3347,10.9885 ± 0.6276,11.2499 ± 1.2305,0.9000 ± 0.0000,0.0001 ± 0.0000,,
22000,297.1895 ± 4.7785,5.3905 ± 1.9209,14.4850 ± 4.2863,13.7000 ± 8.7464,0.6605 ± 0.0636,0.2419 ± 0.0967,0.2429 ± 0.0873,-2601.0791 ± 192.0454,-2362.5813 ± 46.1951,-2529.3762 ± 242.9310,-2303.8052 ± 25.3834,9.5117 ± 2.4994,10.0702 ± 1.5645,9.4449 ± 1.4643,0.9000 ± 0.0000,0.0001 ± 0.0000,2459.7470 ± 274.8925,-2232.6555 ± 21.4617
