episode,mean_final_edges,mean_shd,best_shd,mean_bic,best_bic,mean_bdeu,best_bdeu
10,7.9,5.7,3.0,-2297.8534245485253,-2290.8691818601865,-2284.4886096512646,-2280.5729033635143
20,7.95,6.25,3.0,-2297.177510664331,-2290.8691818601865,-2284.3649638681354,-2280.5729033635143
30,7.733333333333333,5.333333333333333,1.0,-2295.7234969011697,-2290.8691818601865,-2283.547086586955,-2280.5729033635143
40,7.85,5.7,1.0,-2296.5583566293817,-2290.8691818601865,-2284.104193957573,-2280.5729033635143
50,7.84,5.64,1.0,-2296.349937872551,-2290.8691818601865,-2284.083494874461,-2280.5729033635143
60,7.866666666666666,5.666666666666667,1.0,-2296.555645148366,-2290.8691818601865,-2284.1820381021826,-2280.5729033635143
70,7.885714285714286,5.714285714285714,1.0,-2296.7345753471714,-2290.8691818601865,-2284.417268488301,-2280.5729033635143
80,7.825,5.475,1.0,-2296.2186903086194,-2290.8691818601865,-2283.998312640032,-2280.5729033635143
90,7.888888888888889,5.666666666666667,1.0,-2296.5361533143737,-2290.8691818601865,-2284.1582460302557,-2280.5729033635143
100,7.83,5.43,1.0,-2296.1232947238973,-2290.8691818601865,-2283.8818714926306,-2280.5729033635143
