iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
8000,139.8047 ± 1.1133,7.3199 ± 0.2404,22.1730 ± 2.1899,25.0750 ± 1.7269,0.5777 ± 0.0452,0.2375 ± 0.0680,0.1653 ± 0.0285,-2703.6641 ± 147.1590,-2591.4120 ± 80.3963,-2373.8063 ± 24.4347,-2353.8398 ± 16.4957,45.0372 ± 2.2204,19.7233 ± 1.3476,21.5453 ± 0.9340,0.7200 ± 0.0000,0.0001 ± 0.0000,2252.0469 ± 25.5354,-2242.4848 ± 21.1058
9000,154.3271 ± 1.2029,2.1022 ± 0.0659,21.0610 ± 2.9416,24.1180 ± 1.7094,0.6000 ± 0.1163,0.3339 ± 0.0859,0.1944 ± 0.0570,-2657.9951 ± 131.0442,-2582.7408 ± 173.7139,-2381.9742 ± 31.9432,-2368.4231 ± 37.7820,39.2521 ± 4.7432,18.8059 ± 1.1968,21.8512 ± 1.4464,0.8100 ± 0.0000,0.0001 ± 0.0000,,
10000,163.9595 ± 1.2359,7.2055 ± 0.2698,21.2840 ± 2.3588,24.2840 ± 1.6438,0.6016 ± 0.0690,0.3354 ± 0.1333,0.1829 ± 0.0396,-2673.6628 ± 119.0258,-2527.8339 ± 105.5315,-2390.3696 ± 46.1640,-2352.3620 ± 34.9194,36.7702 ± 5.4093,18.7671 ± 1.4140,21.6225 ± 2.5350,0.9000 ± 0.0000,0.0001 ± 0.0000,2268.4872 ± 39.5481,-2245.6287 ± 29.5649
11000,178.2843 ± 1.3277,2.0000 ± 0.0453,18.3080 ± 1.9356,21.1840 ± 1.3253,0.6435 ± 0.0664,0.3964 ± 0.0863,0.2506 ± 0.0619,-2505.7722 ± 55.6171,-2444.0357 ± 62.4120,-2345.0011 ± 29.6409,-2328.4603 ± 33.7759,36.6775 ± 3.9140,17.8997 ± 0.9152,18.4313 ± 0.6937,0.9000 ± 0.0000,0.0001 ± 0.0000,,
12000,187.5373 ± 1.3486,6.5041 ± 0.1013,15.6730 ± 1.5571,18.9340 ± 0.8621,0.6634 ± 0.0629,0.3932 ± 0.0875,0.2522 ± 0.0713,-2427.9135 ± 23.4513,-2409.5491 ± 26.4498,-2331.4705 ± 25.2420,-2325.0060 ± 28.0337,34.2273 ± 2.3297,16.6021 ± 1.1908,17.6791 ± 1.5705,0.9000 ± 0.0000,0.0001 ± 0.0000,2241.9225 ± 20.0796,-2235.4275 ± 22.9600
13000,201.4319 ± 1.4167,1.9678 ± 0.1057,17.1550 ± 2.7355,20.1400 ± 3.1829,0.6607 ± 0.0653,0.4241 ± 0.0728,0.2613 ± 0.0693,-2488.3110 ± 159.2601,-2392.1281 ± 17.8385,-2336.1554 ± 29.7201,-2316.8440 ± 20.1786,33.0676 ± 5.9004,15.5692 ± 1.5185,16.9033 ± 1.3383,0.9000 ± 0.0000,0.0001 ± 0.0000,,
14000,210.6788 ± 1.3694,6.4848 ± 0.0982,16.6130 ± 1.3950,18.7460 ± 0.5305,0.6558 ± 0.0807,0.3734 ± 0.1505,0.2630 ± 0.1409,-2422.7900 ± 37.6253,-2376.9611 ± 28.4094,-2326.3250 ± 27.8153,-2312.6421 ± 26.7008,34.6911 ± 5.4336,14.7403 ± 0.9875,17.5628 ± 1.0845,0.9000 ± 0.0000,0.0001 ± 0.0000,2241.1723 ± 22.6226,-2234.6427 ± 21.9045
15000,224.4717 ± 1.3896,1.8714 ± 0.0291,16.0040 ± 0.8348,18.0310 ± 0.7065,0.6583 ± 0.0599,0.3897 ± 0.1052,0.2774 ± 0.0814,-2404.1906 ± 25.6951,-2374.2979 ± 28.6068,-2327.0905 ± 27.3272,-2312.2681 ± 30.9397,33.7205 ± 5.3723,13.4842 ± 1.0815,15.8184 ± 1.7713,0.9000 ± 0.0000,0.0001 ± 0.0000,,
16000,233.7545 ± 1.4145,6.8740 ± 0.2449,17.0820 ± 1.4115,19.5610 ± 0.8313,0.6616 ± 0.0756,0.3642 ± 0.0662,0.2342 ± 0.0342,-2440.0980 ± 36.3064,-2373.0746 ± 16.6432,-2332.1275 ± 24.8459,-2314.3487 ± 23.3073,36.5288 ± 4.0585,13.4100 ± 1.1392,14.9635 ± 2.1513,0.9000 ± 0.0000,0.0001 ± 0.0000,2242.8374 ± 26.5285,-2235.6828 ± 21.6084
17000,247.7692 ± 1.2184,1.8990 ± 0.0441,16.1660 ± 2.1539,18.0250 ± 1.2741,0.6522 ± 0.1186,0.3745 ± 0.1122,0.2573 ± 0.0691,-2404.1928 ± 38.0997,-2379.0145 ± 32.1926,-2325.7227 ± 26.2746,-2313.3317 ± 24.2419,37.4526 ± 5.0206,11.0403 ± 0.9189,15.1555 ± 3.5575,0.9000 ± 0.0000,0.0001 ± 0.0000,,
18000,256.8814 ± 1.1853,5.8837 ± 0.7745,14.4910 ± 2.0810,15.1880 ± 3.2839,0.6344 ± 0.0566,0.3268 ± 0.1239,0.2388 ± 0.0594,-2450.7396 ± 92.6379,-2358.5222 ± 10.2343,-2394.2403 ± 107.4933,-2307.8561 ± 19.1858,38.9235 ± 5.4470,11.0847 ± 0.7210,13.1652 ± 0.9443,0.9000 ± 0.0000,0.0001 ± 0.0000,2323.4987 ± 119.9682,-2236.2858 ± 21.5419
19000,269.9830 ± 1.5057,1.5366 ± 0.5568,13.4620 ± 4.4432,12.4940 ± 8.7595,0.6346 ± 0.0508,0.3057 ± 0.1315,0.2364 ± 0.0753,-2576.0402 ± 231.2561,-2363.9662 ± 21.0277,-2522.1973 ± 275.5022,-2311.2753 ± 22.2125,37.2888 ± 5.2681,9.9003 ± 1.1765,11.7517 ± 1.0381,0.9000 ± 0.0000,0.0001 ± 0.0000,,
