iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
0,18.7483 ± 1.3557,8.7143 ± 1.0641,8.6200 ± 0.2492,1.0940 ± 0.4743,0.5775 ± 0.1420,0.1875 ± 0.0995,0.2004 ± 0.0757,-2907.1809 ± 43.4842,-2530.7481 ± 91.3418,-2907.6577 ± 43.6381,-2522.0817 ± 96.1713,374.1166 ± 43.2947,374.1166 ± 43.2947,374.1166 ± 43.2947,0.0000 ± 0.0000,0.0001 ± 0.0000,2881.4717 ± 42.0377,-2483.5828 ± 102.3013
1,22.8604 ± 1.4526,2.1219 ± 0.6930,8.7070 ± 0.2732,1.3620 ± 0.5896,0.6824 ± 0.1474,0.2486 ± 0.1098,0.2629 ± 0.0947,-2899.7768 ± 41.1841,-2489.8884 ± 41.7745,-2899.1505 ± 41.2053,-2448.0101 ± 70.1384,357.5050 ± 46.9379,365.8108 ± 43.4664,372.4554 ± 43.0522,0.0001 ± 0.0000,0.0001 ± 0.0000,,
10,28.9732 ± 1.4228,3.8831 ± 1.1669,12.0250 ± 1.9362,7.5540 ± 3.1819,0.6533 ± 0.0707,0.2679 ± 0.0981,0.2892 ± 0.0961,-2841.2789 ± 33.2665,-2351.0463 ± 26.1122,-2741.4056 ± 50.8824,-2314.4071 ± 33.2129,344.5628 ± 28.6009,347.0559 ± 28.8740,353.9829 ± 31.7001,0.0009 ± 0.0000,0.0001 ± 0.0000,,
50,37.8324 ± 2.6408,3.7022 ± 1.1014,21.6740 ± 1.1441,25.3760 ± 1.3612,0.6571 ± 0.0795,0.2668 ± 0.0690,0.2876 ± 0.0534,-3049.0264 ± 14.3844,-2414.8745 ± 134.9191,-2430.9758 ± 45.9132,-2306.8269 ± 24.5113,306.2951 ± 25.6293,314.6960 ± 22.1240,293.6350 ± 20.9158,0.0045 ± 0.0000,0.0001 ± 0.0000,,
100,41.8511 ± 3.4593,3.1691 ± 0.5482,22.4950 ± 0.7182,26.6890 ± 0.5918,0.6806 ± 0.1059,0.3004 ± 0.1367,0.3235 ± 0.1300,-3072.9871 ± 17.0259,-2834.7962 ± 270.9118,-2412.1996 ± 29.9276,-2368.2856 ± 43.8886,250.6883 ± 33.8190,285.3169 ± 17.2778,242.7714 ± 12.5914,0.0090 ± 0.0000,0.0001 ± 0.0000,,
500,63.8496 ± 6.7734,3.1751 ± 0.5341,23.8110 ± 0.7448,28.0000 ± 0.0000,0.5848 ± 0.0654,0.1760 ± 0.0931,0.2004 ± 0.0873,-3080.7294 ± 18.1728,-3080.7294 ± 18.1728,-2385.8724 ± 24.2488,-2385.8724 ± 24.2488,138.4421 ± 18.9712,150.8143 ± 5.7813,137.9490 ± 8.4057,0.0450 ± 0.0000,0.0001 ± 0.0000,,
1000,76.7781 ± 10.4153,3.2092 ± 0.5415,23.4930 ± 0.6765,28.0000 ± 0.0000,0.5967 ± 0.0554,0.2072 ± 0.0541,0.1946 ± 0.0618,-3080.7294 ± 18.1728,-3080.7294 ± 18.1728,-2385.8724 ± 24.2488,-2385.8724 ± 24.2488,219.3428 ± 11.2725,108.6613 ± 1.8620,113.4892 ± 3.1650,0.0900 ± 0.0000,0.0001 ± 0.0000,,
2000,99.0646 ± 17.1142,8.7621 ± 0.7675,22.3820 ± 1.1953,27.3110 ± 1.5239,0.6623 ± 0.0745,0.2980 ± 0.0852,0.2220 ± 0.0268,-2992.0369 ± 195.8379,-2893.6253 ± 276.6502,-2377.4417 ± 28.0088,-2369.7271 ± 36.5540,274.5969 ± 17.2090,83.1926 ± 2.0992,97.9470 ± 1.8823,0.1800 ± 0.0000,0.0001 ± 0.0000,2247.3048 ± 27.5554,-2245.4011 ± 27.9741
3000,126.6883 ± 24.2322,3.0589 ± 0.4836,22.0000 ± 2.3782,26.0940 ± 2.4621,0.6431 ± 0.0721,0.2962 ± 0.0839,0.2428 ± 0.1034,-2851.8331 ± 232.7169,-2679.1428 ± 258.6093,-2372.2151 ± 22.6956,-2350.6462 ± 30.0003,343.4263 ± 12.5916,59.2377 ± 4.6042,80.7685 ± 4.9949,0.2700 ± 0.0000,0.0001 ± 0.0000,,
4000,148.6310 ± 31.0706,8.2861 ± 0.6458,20.4550 ± 1.6560,24.0820 ± 0.8862,0.6076 ± 0.1114,0.2461 ± 0.0535,0.2254 ± 0.0689,-2605.5718 ± 57.6366,-2473.4318 ± 34.3341,-2355.3737 ± 22.1692,-2326.6862 ± 16.1431,309.3321 ± 27.7054,38.8030 ± 1.8221,62.1094 ± 4.0413,0.3600 ± 0.0000,0.0001 ± 0.0000,2241.8972 ± 25.5302,-2234.2514 ± 21.6128
5000,175.7680 ± 37.9867,2.8881 ± 0.4221,19.5020 ± 2.5379,23.4260 ± 1.7438,0.6634 ± 0.0891,0.2219 ± 0.0906,0.2343 ± 0.0733,-2587.6657 ± 118.9679,-2431.1559 ± 39.0205,-2350.6638 ± 38.6619,-2318.8909 ± 23.4857,198.4906 ± 20.7110,35.1762 ± 0.6945,48.7380 ± 2.5893,0.4500 ± 0.0000,0.0001 ± 0.0000,,
6000,197.4572 ± 44.7425,7.8964 ± 0.5418,18.3690 ± 2.1269,21.9050 ± 1.1286,0.6132 ± 0.1268,0.2362 ± 0.1156,0.2166 ± 0.1231,-2518.6558 ± 37.9193,-2435.4943 ± 40.4959,-2329.9395 ± 23.3517,-2316.0852 ± 20.8647,122.9567 ± 15.7139,30.1771 ± 1.3521,37.4684 ± 0.6479,0.5400 ± 0.0000,0.0001 ± 0.0000,2237.8739 ± 26.5506,-2233.8625 ± 24.2087
7000,224.3938 ± 51.7321,3.0234 ± 0.4893,21.9570 ± 1.4112,25.0610 ± 1.2458,0.6054 ± 0.0490,0.2292 ± 0.0287,0.1837 ± 0.0226,-2727.5541 ± 171.0622,-2516.2893 ± 109.7565,-2367.3102 ± 30.5135,-2334.1240 ± 23.7900,69.1661 ± 5.7288,21.4864 ± 0.3635,26.3391 ± 1.7352,0.6300 ± 0.0000,0.0001 ± 0.0000,,
8000,246.2263 ± 58.5718,8.3390 ± 0.5185,21.2450 ± 0.8918,24.9200 ± 0.8025,0.6315 ± 0.0582,0.3215 ± 0.0960,0.1919 ± 0.0343,-2704.1009 ± 62.5229,-2610.0129 ± 101.4491,-2386.9202 ± 51.2365,-2366.4881 ± 46.8240,46.0845 ± 5.0993,20.1858 ± 0.4108,22.9238 ± 1.1948,0.7200 ± 0.0000,0.0001 ± 0.0000,2262.0141 ± 48.0480,-2255.0987 ± 41.3773
9000,273.3454 ± 65.3814,2.9779 ± 0.4379,21.4920 ± 1.9263,24.7110 ± 1.3915,0.6451 ± 0.0825,0.2743 ± 0.1145,0.2069 ± 0.0909,-2701.3350 ± 130.0383,-2588.7877 ± 128.7641,-2373.5617 ± 33.3451,-2351.6598 ± 32.4934,39.6168 ± 3.1929,19.0686 ± 0.8045,21.8383 ± 2.3060,0.8100 ± 0.0000,0.0001 ± 0.0000,,
10000,295.2335 ± 72.1991,8.0493 ± 0.4928,20.2250 ± 1.9929,23.3500 ± 1.5739,0.6402 ± 0.0715,0.3665 ± 0.1055,0.1867 ± 0.0497,-2612.8582 ± 133.9904,-2519.5666 ± 82.8226,-2373.9345 ± 52.7378,-2356.8816 ± 48.9465,36.4769 ± 3.8911,19.1528 ± 0.3042,20.1625 ± 2.4654,0.9000 ± 0.0000,0.0001 ± 0.0000,2261.0601 ± 43.4917,-2253.7775 ± 43.2994
11000,321.9883 ± 79.1340,2.7932 ± 0.4065,19.1000 ± 2.5997,21.9730 ± 1.7393,0.6319 ± 0.0725,0.3354 ± 0.1459,0.1975 ± 0.0730,-2525.9678 ± 75.9582,-2479.5742 ± 90.6746,-2350.8724 ± 39.6279,-2335.5502 ± 25.8082,33.4786 ± 3.2704,18.1210 ± 1.3998,19.2032 ± 2.5406,0.9000 ± 0.0000,0.0001 ± 0.0000,,
12000,343.6127 ± 85.8947,7.6717 ± 0.5012,17.2230 ± 2.3872,20.8220 ± 1.8373,0.6556 ± 0.0830,0.3201 ± 0.1423,0.2201 ± 0.0848,-2473.6537 ± 50.6464,-2419.9373 ± 14.4975,-2331.7901 ± 21.8339,-2318.8003 ± 22.3074,34.1059 ± 4.4663,16.7808 ± 1.2906,18.5035 ± 1.4964,0.9000 ± 0.0000,0.0001 ± 0.0000,2240.1904 ± 26.5630,-2236.2008 ± 27.0690
13000,369.9967 ± 92.6111,2.6624 ± 0.3526,17.2560 ± 1.6758,19.9700 ± 1.1687,0.6350 ± 0.0636,0.3098 ± 0.1259,0.2037 ± 0.0635,-2442.0958 ± 40.3861,-2419.0144 ± 51.8721,-2326.5564 ± 27.3775,-2317.2578 ± 27.1756,33.6110 ± 5.3467,15.7048 ± 1.3882,16.8438 ± 2.2592,0.9000 ± 0.0000,0.0001 ± 0.0000,,
14000,391.5073 ± 99.3835,7.5566 ± 0.4814,16.7740 ± 2.7140,19.6310 ± 1.6338,0.6533 ± 0.1080,0.3368 ± 0.1027,0.2047 ± 0.0598,-2449.6322 ± 58.0236,-2412.5946 ± 21.1449,-2326.1585 ± 24.5445,-2316.4873 ± 22.8432,35.1039 ± 6.8639,14.6296 ± 0.7344,15.3570 ± 1.7986,0.9000 ± 0.0000,0.0001 ± 0.0000,2240.6848 ± 24.7838,-2234.1157 ± 23.9866
15000,418.1526 ± 106.3301,2.6105 ± 0.4021,15.9660 ± 1.1504,18.7410 ± 0.8008,0.6391 ± 0.1050,0.2993 ± 0.0962,0.2025 ± 0.0453,-2415.4658 ± 25.9028,-2391.3121 ± 24.5553,-2326.6829 ± 28.8740,-2313.5901 ± 26.3899,34.4258 ± 5.7598,13.0776 ± 1.3128,14.4488 ± 1.6137,0.9000 ± 0.0000,0.0001 ± 0.0000,,
16000,439.4978 ± 112.9899,7.3417 ± 0.5402,16.0290 ± 1.6512,18.0340 ± 0.5279,0.6558 ± 0.0886,0.2840 ± 0.0768,0.2037 ± 0.0584,-2396.0692 ± 26.1533,-2369.3082 ± 24.6717,-2318.1958 ± 26.9084,-2307.3424 ± 24.5080,37.8848 ± 3.6781,12.5054 ± 1.0403,14.1135 ± 0.5226,0.9000 ± 0.0000,0.0001 ± 0.0000,2240.8834 ± 26.5993,-2234.6862 ± 27.3027
17000,465.4932 ± 119.7217,2.4775 ± 0.4539,15.7680 ± 1.7603,17.1050 ± 3.9667,0.6339 ± 0.0814,0.2507 ± 0.0769,0.1947 ± 0.0400,-2464.5164 ± 109.7679,-2377.5415 ± 27.2365,-2383.7716 ± 125.2574,-2309.6660 ± 22.3967,36.8676 ± 4.9205,11.6045 ± 1.5808,12.6734 ± 1.0600,0.9000 ± 0.0000,0.0001 ± 0.0000,,
18000,486.9099 ± 126.5104,7.0895 ± 0.6494,16.5420 ± 2.1813,17.6820 ± 2.3164,0.6085 ± 0.1193,0.2361 ± 0.0918,0.1936 ± 0.0627,-2425.1003 ± 62.7116,-2373.9143 ± 35.8106,-2347.8821 ± 65.2654,-2311.5619 ± 22.6426,37.1210 ± 5.4606,10.9164 ± 1.3954,13.8061 ± 3.6590,0.9000 ± 0.0000,0.0001 ± 0.0000,2269.2970 ± 69.8384,-2234.9104 ± 25.0472
19000,512.3548 ± 132.9931,2.0719 ± 0.6608,14.2100 ± 3.5591,13.6110 ± 6.6889,0.6170 ± 0.1054,0.2530 ± 0.1220,0.2287 ± 0.0859,-2554.8750 ± 205.1621,-2371.1990 ± 17.1690,-2492.8788 ± 222.1363,-2308.1920 ± 16.1458,37.6990 ± 4.2701,10.5392 ± 1.0165,13.5239 ± 1.4646,0.9000 ± 0.0000,0.0001 ± 0.0000,,
