shd,num_edges,bic,bdeu,posterior_predictive_loglik,neg_posterior_predictive_loglik,rank
89.0,47.0,-12291.74745719926,-11687.46848451572,-11044.002932139047,11044.002932139047,1
90.0,48.0,-12310.549978570585,-11694.125954780893,-11044.371319112895,11044.371319112895,2
89.0,49.0,-12346.422947339688,-11742.904873844895,-11084.650216920352,11084.650216920352,3
92.0,50.0,-12519.56922353039,-11786.469549167146,-11100.459125469131,11100.459125469131,4
91.0,49.0,-12532.75920587471,-11834.643796976752,-11164.069486646826,11164.069486646826,5
90.0,48.0,-12504.798221577441,-11867.67406518187,-11192.786120744862,11192.786120744862,6
90.0,48.0,-12504.798221577441,-11867.67406518187,-11192.786120744862,11192.786120744862,7
91.0,49.0,-12516.555112389178,-11881.05437153567,-11193.046940825447,11193.046940825447,8
91.0,49.0,-12523.600742948764,-11874.331535447041,-11193.154507718713,11193.154507718713,9
92.0,50.0,-12529.203150004214,-11886.870722633446,-11193.695119510427,11193.695119510427,10
92.0,50.0,-12552.302733384407,-11861.950396967744,-11166.877761164671,11166.877761164671,11
90.0,48.0,-12531.80628302795,-11885.51533829383,-11191.850166100925,11191.850166100925,12
89.0,49.0,-12543.074504263672,-11880.086635230873,-11192.093647316287,11192.093647316287,13
91.0,51.0,-12665.750899869128,-11909.803655264412,-11191.526056845434,11191.526056845434,14
90.0,48.0,-12520.220541335713,-11941.081888381943,-11251.66688110202,11251.66688110202,15
90.0,48.0,-12586.085767327228,-11952.637482561719,-11236.35985487641,11236.35985487641,16
