shd,num_edges,bic,bdeu,posterior_predictive_loglik,neg_posterior_predictive_loglik,rank
3.0,7.0,-2314.823307264869,-2305.59075057018,-2263.3538245062887,2263.3538245062887,1
1.0,7.0,-2314.8233072648695,-2305.59075057018,-2263.3538245062887,2263.3538245062887,2
3.0,7.0,-2314.823307264869,-2305.5907505701807,-2263.353824506288,2263.353824506288,3
6.0,8.0,-2317.995413346987,-2307.011939945631,-2265.306871625747,2265.306871625747,4
4.0,8.0,-2317.995413346987,-2307.0119399456316,-2265.306871625747,2265.306871625747,5
6.0,8.0,-2319.2917060246596,-2308.6550015974804,-2266.2967421889325,2266.2967421889325,6
