iteration,training_time_seconds,history_eval_time_seconds,expected_shd,expected_edges,roc_auc,prc_auc,ave_prec,bic_mean,bic_max,bdeu_mean,bdeu_max,loss,avg_loss,smooth_loss,epsilon,learning_rate,neg_avg_predictive_log_likelihood,predictive_log_likelihood_best
0,19.6382 ± 0.7510,12.4898 ± 0.8066,25.8960 ± 0.4096,1.1080 ± 0.4648,0.5202 ± 0.0723,0.0720 ± 0.0355,0.0725 ± 0.0205,-17307.8336 ± 101.2797,-16599.5795 ± 134.8775,-17320.0020 ± 101.5265,-16614.1195 ± 132.8225,694.7534 ± 40.9616,694.7534 ± 40.9616,694.7534 ± 40.9616,0.0000 ± 0.0000,0.0001 ± 0.0000,17178.5986 ± 103.3909,-16363.3828 ± 156.7524
1,26.3068 ± 0.8320,2.4917 ± 0.8948,25.9950 ± 0.3612,1.2150 ± 0.4359,0.5028 ± 0.0364,0.0618 ± 0.0035,0.0672 ± 0.0044,-17309.7835 ± 101.4363,-16578.7482 ± 246.0464,-17322.4533 ± 101.9395,-16602.9815 ± 245.8953,700.6975 ± 57.1916,697.7255 ± 30.5500,695.3478 ± 35.8102,0.0001 ± 0.0000,0.0001 ± 0.0000,,
10,33.5081 ± 1.2924,5.6056 ± 1.1049,30.8410 ± 3.2902,7.6940 ± 4.3899,0.6374 ± 0.0616,0.1322 ± 0.0432,0.1241 ± 0.0402,-17547.2436 ± 506.4444,-15950.9160 ± 388.0718,-17284.1985 ± 147.7291,-15955.7037 ± 357.8999,653.2321 ± 50.3592,669.4447 ± 23.9845,674.6327 ± 29.7347,0.0009 ± 0.0000,0.0001 ± 0.0000,,
50,44.6293 ± 2.8828,7.4283 ± 0.9469,57.0280 ± 2.5423,50.9610 ± 3.7625,0.7961 ± 0.0332,0.2468 ± 0.0385,0.2626 ± 0.0350,-26341.6987 ± 2000.5778,-16234.8130 ± 2259.2431,-17726.5049 ± 357.9781,-15490.8353 ± 581.0129,603.1429 ± 32.4704,643.4370 ± 21.4660,621.2561 ± 27.4324,0.0045 ± 0.0000,0.0001 ± 0.0000,,
100,56.2398 ± 3.2531,6.9575 ± 0.3908,60.2700 ± 5.1555,56.6810 ± 4.8942,0.8018 ± 0.0378,0.2785 ± 0.0405,0.2889 ± 0.0382,-28296.6143 ± 1147.3618,-19506.9156 ± 3979.3361,-17700.9796 ± 459.5503,-15937.2295 ± 350.8934,606.2670 ± 91.6021,619.7315 ± 15.0429,586.0944 ± 16.2191,0.0090 ± 0.0000,0.0001 ± 0.0000,,
500,73.0953 ± 1.3493,7.5916 ± 0.4505,68.5620 ± 4.9885,66.8750 ± 3.7476,0.7816 ± 0.0494,0.2289 ± 0.0261,0.2470 ± 0.0280,-27767.6191 ± 975.5681,-23709.8035 ± 487.8076,-18226.2115 ± 441.4489,-16644.9471 ± 552.9616,376.3971 ± 44.8515,410.0617 ± 7.7058,379.6210 ± 7.5413,0.0450 ± 0.0000,0.0001 ± 0.0000,,
1000,87.7052 ± 2.6125,8.6522 ± 1.3165,71.7390 ± 8.0734,71.4150 ± 5.8304,0.7488 ± 0.0563,0.2183 ± 0.0743,0.2306 ± 0.0659,-28053.9420 ± 651.9210,-24553.2666 ± 496.6824,-18081.5172 ± 282.6723,-16850.9782 ± 347.6116,435.8083 ± 33.3347,305.6698 ± 6.6679,303.4293 ± 9.4406,0.0900 ± 0.0000,0.0001 ± 0.0000,,
2000,107.3448 ± 2.2593,23.1151 ± 1.3809,81.1940 ± 5.4943,78.9930 ± 5.1513,0.6387 ± 0.0317,0.2145 ± 0.0464,0.1716 ± 0.0254,-27318.8439 ± 465.5322,-24790.4588 ± 128.3118,-18338.1669 ± 296.8628,-17040.7332 ± 536.1572,434.8685 ± 34.0679,245.3986 ± 13.3221,263.0383 ± 12.5563,0.1800 ± 0.0000,0.0001 ± 0.0000,14284.5671 ± 296.1104,-13682.5875 ± 429.1189
3000,141.1812 ± 2.2670,7.0570 ± 0.5368,86.5680 ± 5.2909,84.3640 ± 6.6645,0.6207 ± 0.0606,0.2159 ± 0.0394,0.1477 ± 0.0462,-26902.0142 ± 986.5400,-24920.0207 ± 367.6582,-18871.2236 ± 682.6265,-17859.5101 ± 883.0446,436.5439 ± 44.3101,223.8919 ± 15.8222,244.1758 ± 18.8547,0.2700 ± 0.0000,0.0001 ± 0.0000,,
4000,160.1195 ± 1.9787,23.3145 ± 0.5809,89.5710 ± 4.1631,88.2260 ± 3.8563,0.6048 ± 0.0400,0.2282 ± 0.0466,0.1431 ± 0.0368,-26561.3940 ± 485.0554,-25314.2155 ± 578.8215,-18996.1988 ± 597.7676,-18197.8934 ± 599.1797,440.2524 ± 32.2750,206.5198 ± 16.6819,227.5015 ± 19.8971,0.3600 ± 0.0000,0.0001 ± 0.0000,14358.2316 ± 331.5221,-13998.0437 ± 434.8591
5000,195.1777 ± 1.9223,7.2561 ± 0.2435,94.1610 ± 4.3527,90.6470 ± 3.0176,0.5636 ± 0.0479,0.2024 ± 0.0362,0.1316 ± 0.0483,-24809.0374 ± 1640.0761,-20518.8108 ± 4176.2072,-18815.6779 ± 785.3131,-17296.6013 ± 1054.3445,441.3267 ± 30.0945,191.6402 ± 13.6245,213.4793 ± 10.9487,0.4500 ± 0.0000,0.0001 ± 0.0000,,
6000,214.1729 ± 1.3585,23.2703 ± 2.1858,89.5740 ± 12.1537,87.1130 ± 13.7969,0.5904 ± 0.0456,0.1826 ± 0.0558,0.1237 ± 0.0300,-23609.8311 ± 3929.1848,-18236.1151 ± 3036.7248,-18098.6882 ± 1084.8758,-16388.5227 ± 809.0044,453.5743 ± 40.2445,171.0836 ± 5.1948,197.0133 ± 6.5001,0.5400 ± 0.0000,0.0001 ± 0.0000,14098.9104 ± 365.7925,-13664.4798 ± 390.9212
