episode,mean_final_edges,mean_shd,best_shd,mean_bic,best_bic,mean_bdeu,best_bdeu
10,27.7,17.9,6.0,-13092.816204003353,-12876.057683878607,-13069.792448635959,-12908.802448747132
20,27.65,18.65,6.0,-13082.75325133604,-12876.057683878607,-13066.983079610322,-12908.802448747132
30,27.566666666666666,18.766666666666666,6.0,-13090.440169732117,-12876.057683878607,-13074.263456810033,-12908.802448747132
40,27.575,18.725,6.0,-13090.889061586306,-12876.057683878607,-13072.285374837726,-12908.802448747132
50,27.7,18.78,5.0,-13084.82543061563,-12876.057683878607,-13066.314122721302,-12908.802448747132
60,27.75,18.85,5.0,-13089.026867148863,-12876.057683878607,-13070.312964353561,-12908.802448747132
70,27.714285714285715,19.17142857142857,5.0,-13094.959351164372,-12876.057683878607,-13076.744236213755,-12908.802448747132
80,27.7,19.1,5.0,-13089.609389175903,-12876.057683878607,-13074.68022683878,-12908.802448747132
90,27.744444444444444,19.255555555555556,5.0,-13094.37832761977,-12876.057683878607,-13077.990060063448,-12908.802448747132
100,27.73,19.05,5.0,-13093.48340392217,-12876.057683878607,-13077.54040307876,-12908.802448747132
