shd,num_edges,bic,bdeu,posterior_predictive_loglik,neg_posterior_predictive_loglik,rank
94.0,50.0,-12279.42454313603,-11634.14580854795,-11002.148776958702,11002.148776958702,1
93.0,49.0,-12378.78584566977,-11717.204403352938,-11033.638837042665,11033.638837042665,2
95.0,51.0,-12486.27009819178,-11698.805104388519,-11031.649427024928,11031.649427024928,3
95.0,51.0,-12413.003193966817,-11745.41778503934,-11076.679679279563,11076.679679279563,4
96.0,52.0,-12459.199308194517,-11768.20134495345,-11059.703400514678,11059.703400514678,5
95.0,51.0,-12457.788997637446,-11746.32048546995,-11064.2291288097,11064.2291288097,6
95.0,51.0,-12370.292985150641,-11740.851998098566,-11089.62644167773,11089.62644167773,7
95.0,51.0,-12462.284720054788,-11764.16355676295,-11080.67620128525,11080.67620128525,8
96.0,52.0,-12541.994106886266,-11845.414449559754,-11140.927606424477,11140.927606424477,9
