shd,num_edges,bic,bdeu,posterior_predictive_loglik,neg_posterior_predictive_loglik,rank
11.0,18.0,-72632.57825980699,-72400.61186299412,-71745.64102528838,71745.64102528838,1
11.0,18.0,-72632.57825980699,-72400.61186299412,-71745.6410252884,71745.6410252884,2
13.0,18.0,-72632.57825980699,-72400.61186299413,-71745.6410252884,71745.6410252884,3
13.0,18.0,-72632.57825980699,-72400.61186299412,-71745.64102528838,71745.64102528838,4
15.0,18.0,-72632.57825980699,-72400.61186299412,-71745.6410252884,71745.6410252884,5
